emoji,name,group,sub_group,codepoints
👋🏾,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FE
👋🏿,waving hand: dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FF
🤚,raised back of hand,People & Body,hand-fingers-open,1F91A
🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open,1F91A 1F3FB
🤚🏼,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,1F91A 1F3FC
🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open,1F91A 1F3FD
🤚🏾,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FE
🤚🏿,raised back of hand: dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FF
🖐️,hand with fingers splayed,People & Body,hand-fingers-open,1F590 FE0F
🖐,hand with fingers splayed,People & Body,hand-fingers-open,1F590
🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,1F590 1F3FB
🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,1F590 1F3FC
🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,1F590 1F3FD
🖐🏾,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,1F590 1F3FE
🖐🏿,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,1F590 1F3FF
✋,raised hand,People & Body,hand-fingers-open,270B
✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open,270B 1F3FB
✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open,270B 1F3FC
✋🏽,raised hand: medium skin tone,People & Body,hand-fingers-open,270B 1F3FD
✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,270B 1F3FE
✋🏿,raised hand: dark skin tone,People & Body,hand-fingers-open,270B 1F3FF
🖖,vulcan salute,People & Body,hand-fingers-open,1F596
🖖🏻,vulcan salute: light skin tone,People & Body,hand-fingers-open,1F596 1F3FB
🖖🏼,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,1F596 1F3FC
🖖🏽,vulcan salute: medium skin tone,People & Body,hand-fingers-open,1F596 1F3FD
🖖🏾,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,1F596 1F3FE
🖖🏿,vulcan salute: dark skin tone,People & Body,hand-fingers-open,1F596 1F3FF
👌,OK hand,People & Body,hand-fingers-partial,1F44C
👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FB
👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FC
👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial,1F44C 1F3FD
👌🏾,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FE
👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FF
🤌,pinched fingers,People & Body,hand-fingers-partial,1F90C
🤌🏻,pinched fingers: light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FB
🤌🏼,pinched fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FC
🤌🏽,pinched fingers: medium skin tone,People & Body,hand-fingers-partial,1F90C 1F3FD
🤌🏾,pinched fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FE
🤌🏿,pinched fingers: dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FF
🤏,pinching hand,People & Body,hand-fingers-partial,1F90F
🤏🏻,pinching hand: light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FB
🤏🏼,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FC
🤏🏽,pinching hand: medium skin tone,People & Body,hand-fingers-partial,1F90F 1F3FD
🤏🏾,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FE
🤏🏿,pinching hand: dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FF
✌️,victory hand,People & Body,hand-fingers-partial,270C FE0F
✌,victory hand,People & Body,hand-fingers-partial,270C
✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial,270C 1F3FB
✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,270C 1F3FC
✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial,270C 1F3FD
✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,270C 1F3FE
✌🏿,victory hand: dark skin tone,People & Body,hand-fingers-partial,270C 1F3FF
🤞,crossed fingers,People & Body,hand-fingers-partial,1F91E
🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FB
🤞🏼,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FC
🤞🏽,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,1F91E 1F3FD
🤞🏾,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FE
🤞🏿,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FF
🤟,love-you gesture,People & Body,hand-fingers-partial,1F91F
🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FB
🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FC
🤟🏽,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,1F91F 1F3FD
🤟🏾,love-you gesture: medium-dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FE
🤟🏿,love-you gesture: dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FF
🤘,sign of the horns,People & Body,hand-fingers-partial,1F918
🤘🏻,sign of the horns: light skin tone,People & Body,hand-fingers-partial,1F918 1F3FB
🤘🏼,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial,1F918 1F3FC
🤘🏽,sign of the horns: medium skin tone,People & Body,hand-fingers-partial,1F918 1F3FD
🤘🏾,sign of the horns: medium-dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FE
🤘🏿,sign of the horns: dark skin tone,People & Body,hand-fingers-partial,1F918 1F3FF
🤙,call me hand,People & Body,hand-fingers-partial,1F919
🤙🏻,call me hand: light skin tone,People & Body,hand-fingers-partial,1F919 1F3FB
🤙🏼,call me hand: medium-light skin tone,People & Body,hand-fingers-partial,1F919 1F3FC
🤙🏽,call me hand: medium skin tone,People & Body,hand-fingers-partial,1F919 1F3FD
🤙🏾,call me hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FE
🤙🏿,call me hand: dark skin tone,People & Body,hand-fingers-partial,1F919 1F3FF
👈,backhand index pointing left,People & Body,hand-single-finger,1F448
👈🏻,backhand index pointing left: light skin tone,People & Body,hand-single-finger,1F448 1F3FB
👈🏼,backhand index pointing left: medium-light skin tone,People & Body,hand-single-finger,1F448 1F3FC
👈🏽,backhand index pointing left: medium skin tone,People & Body,hand-single-finger,1F448 1F3FD
👈🏾,backhand index pointing left: medium-dark skin tone,People & Body,hand-single-finger,1F448 1F3FE
👈🏿,backhand index pointing left: dark skin tone,People & Body,hand-single-finger,1F448 1F3FF
👉,backhand index pointing right,People & Body,hand-single-finger,1F449
👉🏻,backhand index pointing right: light skin tone,People & Body,hand-single-finger,1F449 1F3FB
👉🏼,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger,1F449 1F3FC
👉🏽,backhand index pointing right: medium skin tone,People & Body,hand-single-finger,1F449 1F3FD
👉🏾,backhand index pointing right: medium-dark skin tone,People & Body,hand-single-finger,1F449 1F3FE
👉🏿,backhand index pointing right: dark skin tone,People & Body,hand-single-finger,1F449 1F3FF
👆,backhand index pointing up,People & Body,hand-single-finger,1F446
👆🏻,backhand index pointing up: light skin tone,People & Body,hand-single-finger,1F446 1F3FB
👆🏼,backhand index pointing up: medium-light skin tone,People & Body,hand-single-finger,1F446 1F3FC
👆🏽,backhand index pointing up: medium skin tone,People & Body,hand-single-finger,1F446 1F3FD
👆🏾,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger,1F446 1F3FE
👆🏿,backhand index pointing up: dark skin tone,People & Body,hand-single-finger,1F446 1F3FF
🖕,middle finger,People & Body,hand-single-finger,1F595
🖕🏻,middle finger: light skin tone,People & Body,hand-single-finger,1F595 1F3FB
🖕🏼,middle finger: medium-light skin tone,People & Body,hand-single-finger,1F595 1F3FC
🖕🏽,middle finger: medium skin tone,People & Body,hand-single-finger,1F595 1F3FD
🖕🏾,middle finger: medium-dark skin tone,People & Body,hand-single-finger,1F595 1F3FE
🖕🏿,middle finger: dark skin tone,People & Body,hand-single-finger,1F595 1F3FF
👇,backhand index pointing down,People & Body,hand-single-finger,1F447
👇🏻,backhand index pointing down: light skin tone,People & Body,hand-single-finger,1F447 1F3FB
👇🏼,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger,1F447 1F3FC
👇🏽,backhand index pointing down: medium skin tone,People & Body,hand-single-finger,1F447 1F3FD
👇🏾,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger,1F447 1F3FE
👇🏿,backhand index pointing down: dark skin tone,People & Body,hand-single-finger,1F447 1F3FF
☝️,index pointing up,People & Body,hand-single-finger,261D FE0F
☝,index pointing up,People & Body,hand-single-finger,261D
☝🏻,index pointing up: light skin tone,People & Body,hand-single-finger,261D 1F3FB
☝🏼,index pointing up: medium-light skin tone,People & Body,hand-single-finger,261D 1F3FC
☝🏽,index pointing up: medium skin tone,People & Body,hand-single-finger,261D 1F3FD
☝🏾,index pointing up: medium-dark skin tone,People & Body,hand-single-finger,261D 1F3FE
☝🏿,index pointing up: dark skin tone,People & Body,hand-single-finger,261D 1F3FF
👍,thumbs up,People & Body,hand-fingers-closed,1F44D
👍🏻,thumbs up: light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FB
👍🏼,thumbs up: medium-light skin tone,People & Body,hand-fingers-closed,1F44D 1F3FC
👍🏽,thumbs up: medium skin tone,People & Body,hand-fingers-closed,1F44D 1F3FD
👍🏾,thumbs up: medium-dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FE
👍🏿,thumbs up: dark skin tone,People & Body,hand-fingers-closed,1F44D 1F3FF
👎,thumbs down,People & Body,hand-fingers-closed,1F44E
👎🏻,thumbs down: light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FB
👎🏼,thumbs down: medium-light skin tone,People & Body,hand-fingers-closed,1F44E 1F3FC
👎🏽,thumbs down: medium skin tone,People & Body,hand-fingers-closed,1F44E 1F3FD
👎🏾,thumbs down: medium-dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FE
👎🏿,thumbs down: dark skin tone,People & Body,hand-fingers-closed,1F44E 1F3FF
✊,raised fist,People & Body,hand-fingers-closed,270A
✊🏻,raised fist: light skin tone,People & Body,hand-fingers-closed,270A 1F3FB
✊🏼,raised fist: medium-light skin tone,People & Body,hand-fingers-closed,270A 1F3FC
✊🏽,raised fist: medium skin tone,People & Body,hand-fingers-closed,270A 1F3FD
✊🏾,raised fist: medium-dark skin tone,People & Body,hand-fingers-closed,270A 1F3FE
✊🏿,raised fist: dark skin tone,People & Body,hand-fingers-closed,270A 1F3FF
👊,oncoming fist,People & Body,hand-fingers-closed,1F44A
👊🏻,oncoming fist: light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FB
👊🏼,oncoming fist: medium-light skin tone,People & Body,hand-fingers-closed,1F44A 1F3FC
👊🏽,oncoming fist: medium skin tone,People & Body,hand-fingers-closed,1F44A 1F3FD
👊🏾,oncoming fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FE
👊🏿,oncoming fist: dark skin tone,People & Body,hand-fingers-closed,1F44A 1F3FF
🤛,left-facing fist,People & Body,hand-fingers-closed,1F91B
🤛🏻,left-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FB
🤛🏼,left-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91B 1F3FC
🤛🏽,left-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91B 1F3FD
🤛🏾,left-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FE
🤛🏿,left-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91B 1F3FF
🤜,right-facing fist,People & Body,hand-fingers-closed,1F91C
🤜🏻,right-facing fist: light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FB
🤜🏼,right-facing fist: medium-light skin tone,People & Body,hand-fingers-closed,1F91C 1F3FC
🤜🏽,right-facing fist: medium skin tone,People & Body,hand-fingers-closed,1F91C 1F3FD
🤜🏾,right-facing fist: medium-dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FE
🤜🏿,right-facing fist: dark skin tone,People & Body,hand-fingers-closed,1F91C 1F3FF
👏,clapping hands,People & Body,hands,1F44F
👏🏻,clapping hands: light skin tone,People & Body,hands,1F44F 1F3FB
👏🏼,clapping hands: medium-light skin tone,People & Body,hands,1F44F 1F3FC
👏🏽,clapping hands: medium skin tone,People & Body,hands,1F44F 1F3FD
👏🏾,clapping hands: medium-dark skin tone,People & Body,hands,1F44F 1F3FE
👏🏿,clapping hands: dark skin tone,People & Body,hands,1F44F 1F3FF
🙌,raising hands,People & Body,hands,1F64C
🙌🏻,raising hands: light skin tone,People & Body,hands,1F64C 1F3FB
🙌🏼,raising hands: medium-light skin tone,People & Body,hands,1F64C 1F3FC
🙌🏽,raising hands: medium skin tone,People & Body,hands,1F64C 1F3FD
🙌🏾,raising hands: medium-dark skin tone,People & Body,hands,1F64C 1F3FE
🙌🏿,raising hands: dark skin tone,People & Body,hands,1F64C 1F3FF
👐,open hands,People & Body,hands,1F450
👐🏻,open hands: light skin tone,People & Body,hands,1F450 1F3FB
👐🏼,open hands: medium-light skin tone,People & Body,hands,1F450 1F3FC
👐🏽,open hands: medium skin tone,People & Body,hands,1F450 1F3FD
👐🏾,open hands: medium-dark skin tone,People & Body,hands,1F450 1F3FE
👐🏿,open hands: dark skin tone,People & Body,hands,1F450 1F3FF
🤲,palms up together,People & Body,hands,1F932
🤲🏻,palms up together: light skin tone,People & Body,hands,1F932 1F3FB
🤲🏼,palms up together: medium-light skin tone,People & Body,hands,1F932 1F3FC
🤲🏽,palms up together: medium skin tone,People & Body,hands,1F932 1F3FD
🤲🏾,palms up together: medium-dark skin tone,People & Body,hands,1F932 1F3FE
🤲🏿,palms up together: dark skin tone,People & Body,hands,1F932 1F3FF
🤝,handshake,People & Body,hands,1F91D
🙏,folded hands,People & Body,hands,1F64F
🙏🏻,folded hands: light skin tone,People & Body,hands,1F64F 1F3FB
🙏🏼,folded hands: medium-light skin tone,People & Body,hands,1F64F 1F3FC
🙏🏽,folded hands: medium skin tone,People & Body,hands,1F64F 1F3FD
🙏🏾,folded hands: medium-dark skin tone,People & Body,hands,1F64F 1F3FE
🙏🏿,folded hands: dark skin tone,People & Body,hands,1F64F 1F3FF
✍️,writing hand,People & Body,hand-prop,270D FE0F
✍,writing hand,People & Body,hand-prop,270D
✍🏻,writing hand: light skin tone,People & Body,hand-prop,270D 1F3FB
✍🏼,writing hand: medium-light skin tone,People & Body,hand-prop,270D 1F3FC
✍🏽,writing hand: medium skin tone,People & Body,hand-prop,270D 1F3FD
✍🏾,writing hand: medium-dark skin tone,People & Body,hand-prop,270D 1F3FE
✍🏿,writing hand: dark skin tone,People & Body,hand-prop,270D 1F3FF
💅,nail polish,People & Body,hand-prop,1F485
💅🏻,nail polish: light skin tone,People & Body,hand-prop,1F485 1F3FB
💅🏼,nail polish: medium-light skin tone,People & Body,hand-prop,1F485 1F3FC
💅🏽,nail polish: medium skin tone,People & Body,hand-prop,1F485 1F3FD
💅🏾,nail polish: medium-dark skin tone,People & Body,hand-prop,1F485 1F3FE
💅🏿,nail polish: dark skin tone,People & Body,hand-prop,1F485 1F3FF
🤳,selfie,People & Body,hand-prop,1F933
🤳🏻,selfie: light skin tone,People & Body,hand-prop,1F933 1F3FB
🤳🏼,selfie: medium-light skin tone,People & Body,hand-prop,1F933 1F3FC
🤳🏽,selfie: medium skin tone,People & Body,hand-prop,1F933 1F3FD
🤳🏾,selfie: medium-dark skin tone,People & Body,hand-prop,1F933 1F3FE
🤳🏿,selfie: dark skin tone,People & Body,hand-prop,1F933 1F3FF
💪,flexed biceps,People & Body,body-parts,1F4AA
💪🏻,flexed biceps: light skin tone,People & Body,body-parts,1F4AA 1F3FB
💪🏼,flexed biceps: medium-light skin tone,People & Body,body-parts,1F4AA 1F3FC
💪🏽,flexed biceps: medium skin tone,People & Body,body-parts,1F4AA 1F3FD
💪🏾,flexed biceps: medium-dark skin tone,People & Body,body-parts,1F4AA 1F3FE
💪🏿,flexed biceps: dark skin tone,People & Body,body-parts,1F4AA 1F3FF
🦾,mechanical arm,People & Body,body-parts,1F9BE
🦿,mechanical leg,People & Body,body-parts,1F9BF
🦵,leg,People & Body,body-parts,1F9B5
🦵🏻,leg: light skin tone,People & Body,body-parts,1F9B5 1F3FB
