Pincode,District,StateName
140118,ROPAR,Punjab
140119,ROPAR,Punjab
140123,ROPAR,Punjab
140124,ROPAR,Punjab
140125,MOHALI,Punjab
140126,ROPAR,Punjab
140127,ROPAR,Punjab
140128,ROPAR,Punjab
140133,ROPAR,Punjab
140201,MOHALI,Punjab
140301,ROPAR,Punjab
140306,MOHALI,Punjab
140307,MOHALI,Punjab
140308,MOHALI,Punjab
140401,PATIALA,Punjab
140402,PATIALA,Punjab
140405,FATEHGARH SAHIB,Punjab
140406,FATEHGARH SAHIB,Punjab
140407,FATEHGARH SAHIB,Punjab
140408,FATEHGARH SAHIB,Punjab
140412,FATEHGARH SAHIB,Punjab
140413,ROPAR,Punjab
140417,PATIALA,Punjab
140501,MOHALI,Punjab
140506,MOHALI,Punjab
140507,MOHALI,Punjab
140601,PATIALA,Punjab
140602,PATIALA,Punjab
140603,MOHALI,Punjab
140604,MOHALI,Punjab
140701,PATIALA,Punjab
140702,PATIALA,Punjab
140802,FATEHGARH SAHIB,Punjab
140901,MOHALI,Punjab
141001,LUDHIANA,Punjab
141002,LUDHIANA,Punjab
141003,LUDHIANA,Punjab
141004,LUDHIANA,Punjab
141006,LUDHIANA,Punjab
141007,LUDHIANA,Punjab
141008,LUDHIANA,Punjab
141010,LUDHIANA,Punjab
141012,LUDHIANA,Punjab
141013,LUDHIANA,Punjab
141014,LUDHIANA,Punjab
141015,LUDHIANA,Punjab
141016,LUDHIANA,Punjab
141017,LUDHIANA,Punjab
141101,LUDHIANA,Punjab
141102,LUDHIANA,Punjab
141103,LUDHIANA,Punjab
141104,LUDHIANA,Punjab
141105,LUDHIANA,Punjab
141106,LUDHIANA,Punjab
141107,LUDHIANA,Punjab
141108,LUDHIANA,Punjab
141109,LUDHIANA,Punjab
141110,LUDHIANA,Punjab
141112,LUDHIANA,Punjab
141113,LUDHIANA,Punjab
141114,LUDHIANA,Punjab
141115,LUDHIANA,Punjab
141116,LUDHIANA,Punjab
141117,LUDHIANA,Punjab
141118,LUDHIANA,Punjab
141119,LUDHIANA,Punjab
141120,LUDHIANA,Punjab
141121,LUDHIANA,Punjab
141122,LUDHIANA,Punjab
141123,LUDHIANA,Punjab
141125,LUDHIANA,Punjab
141126,LUDHIANA,Punjab
141127,LUDHIANA,Punjab
141201,LUDHIANA,Punjab
141202,LUDHIANA,Punjab
141203,LUDHIANA,Punjab
141204,LUDHIANA,Punjab
141205,LUDHIANA,Punjab
141206,LUDHIANA,Punjab
141401,LUDHIANA,Punjab
141411,FATEHGARH SAHIB,Punjab
141412,LUDHIANA,Punjab
141413,LUDHIANA,Punjab
141414,LUDHIANA,Punjab
141415,LUDHIANA,Punjab
141416,LUDHIANA,Punjab
141417,LUDHIANA,Punjab
141418,LUDHIANA,Punjab
141419,LUDHIANA,Punjab
141421,LUDHIANA,Punjab
141422,LUDHIANA,Punjab
141801,FATEHGARH SAHIB,Punjab
142001,MOGA,Punjab
142002,MOGA,Punjab
142003,MOGA,Punjab
142011,MOGA,Punjab
142021,LUDHIANA,Punjab
142022,LUDHIANA,Punjab
142023,LUDHIANA,Punjab
142024,LUDHIANA,Punjab
142025,LUDHIANA,Punjab
142026,LUDHIANA,Punjab
142027,LUDHIANA,Punjab
142028,LUDHIANA,Punjab
142029,LUDHIANA,Punjab
142030,LUDHIANA,Punjab
142031,LUDHIANA,Punjab
142032,LUDHIANA,Punjab
142033,LUDHIANA,Punjab
142034,LUDHIANA,Punjab
142035,LUDHIANA,Punjab
142036,LUDHIANA,Punjab
142037,MOGA,Punjab
142038,MOGA,Punjab
142039,MOGA,Punjab
142040,MOGA,Punjab
142041,FIROZPUR,Punjab
142042,FIROZPUR,Punjab
142043,FIROZPUR,Punjab
142044,FIROZPUR,Punjab
142045,MOGA,Punjab
142046,MOGA,Punjab
142047,FIROZPUR,Punjab
142048,MOGA,Punjab
142049,MOGA,Punjab
142050,FIROZPUR,Punjab
142052,FIROZPUR,Punjab
142053,MOGA,Punjab
142054,MOGA,Punjab
142055,MOGA,Punjab
142056,MOGA,Punjab
142057,MOGA,Punjab
142058,MOGA,Punjab
142060,FIROZPUR,Punjab
143001,AMRITSAR,Punjab
143002,AMRITSAR,Punjab
143003,AMRITSAR,Punjab
143005,AMRITSAR,Punjab
143006,AMRITSAR,Punjab
143008,AMRITSAR,Punjab
143009,AMRITSAR,Punjab
143022,AMRITSAR,Punjab
143101,AMRITSAR,Punjab
143102,AMRITSAR,Punjab
143103,AMRITSAR,Punjab
143105,AMRITSAR,Punjab
143107,AMRITSAR,Punjab
143108,AMRITSAR,Punjab
143109,AMRITSAR,Punjab
143111,AMRITSAR,Punjab
143112,AMRITSAR,Punjab
143113,AMRITSAR,Punjab
143114,AMRITSAR,Punjab
143115,AMRITSAR,Punjab
143116,AMRITSAR,Punjab
143117,TARN TARAN,Punjab
143118,TARN TARAN,Punjab
143119,AMRITSAR,Punjab
143149,AMRITSAR,Punjab
143201,AMRITSAR,Punjab
143202,AMRITSAR,Punjab
143203,AMRITSAR,Punjab
143204,AMRITSAR,Punjab
143205,AMRITSAR,Punjab
143301,TARN TARAN,Punjab
143302,TARN TARAN,Punjab
143303,TARN TARAN,Punjab
143304,AMRITSAR,Punjab
143305,TARN TARAN,Punjab
143401,TARN TARAN,Punjab
143402,TARN TARAN,Punjab
143406,TARN TARAN,Punjab
143407,TARN TARAN,Punjab
143408,TARN TARAN,Punjab
143409,TARN TARAN,Punjab
143410,TARN TARAN,Punjab
143411,TARN TARAN,Punjab
143412,TARN TARAN,Punjab
143413,TARN TARAN,Punjab
143414,TARN TARAN,Punjab
143415,TARN TARAN,Punjab
143416,TARN TARAN,Punjab
143419,TARN TARAN,Punjab
143422,TARN TARAN,Punjab
143501,AMRITSAR,Punjab
143502,AMRITSAR,Punjab
143504,AMRITSAR,Punjab
143505,GURDASPUR,Punjab
143506,GURDASPUR,Punjab
143507,GURDASPUR,Punjab
143511,GURDASPUR,Punjab
143512,GURDASPUR,Punjab
143513,GURDASPUR,Punjab
143514,GURDASPUR,Punjab
143515,GURDASPUR,Punjab
143516,GURDASPUR,Punjab
143517,GURDASPUR,Punjab
143518,GURDASPUR,Punjab
143519,GURDASPUR,Punjab
143520,GURDASPUR,Punjab
143521,GURDASPUR,Punjab
143525,PATHANKOT,Punjab
143526,GURDASPUR,Punjab
143527,GURDASPUR,Punjab
143528,GURDASPUR,Punjab
143529,GURDASPUR,Punjab
143530,GURDASPUR,Punjab
143531,GURDASPUR,Punjab
143532,GURDASPUR,Punjab
143533,PATHANKOT,Punjab
143534,PATHANKOT,Punjab
143601,AMRITSAR,Punjab
143602,GURDASPUR,Punjab
143603,AMRITSAR,Punjab
143604,GURDASPUR,Punjab
143605,GURDASPUR,Punjab
143606,AMRITSAR,Punjab
144001,JALANDHAR,Punjab
144002,JALANDHAR,Punjab
144003,JALANDHAR,Punjab
144004,JALANDHAR,Punjab
144005,JALANDHAR,Punjab
144006,JALANDHAR,Punjab
144007,JALANDHAR,Punjab
144008,JALANDHAR,Punjab
144009,JALANDHAR,Punjab
144010,JALANDHAR,Punjab
144011,JALANDHAR,Punjab
144020,JALANDHAR,Punjab
144021,JALANDHAR,Punjab
144022,JALANDHAR,Punjab
144023,JALANDHAR,Punjab
144024,JALANDHAR,Punjab
144025,JALANDHAR,Punjab
144026,JALANDHAR,Punjab
144027,JALANDHAR,Punjab
144028,JALANDHAR,Punjab
144029,JALANDHAR,Punjab
144030,JALANDHAR,Punjab
144031,JALANDHAR,Punjab
144032,JALANDHAR,Punjab
144033,JALANDHAR,Punjab
144034,JALANDHAR,Punjab
144035,JALANDHAR,Punjab
144036,JALANDHAR,Punjab
144037,JALANDHAR,Punjab
144039,JALANDHAR,Punjab
144040,JALANDHAR,Punjab
144041,JALANDHAR,Punjab
144042,JALANDHAR,Punjab
144043,JALANDHAR,Punjab
144044,JALANDHAR,Punjab
144101,JALANDHAR,Punjab
144102,JALANDHAR,Punjab
144103,JALANDHAR,Punjab
144104,JALANDHAR,Punjab
144105,HOSHIARPUR,Punjab
144106,JALANDHAR,Punjab
144201,JALANDHAR,Punjab
144202,HOSHIARPUR,Punjab
144204,HOSHIARPUR,Punjab
144205,HOSHIARPUR,Punjab
144206,HOSHIARPUR,Punjab
144207,HOSHIARPUR,Punjab
144208,HOSHIARPUR,Punjab
144209,HOSHIARPUR,Punjab
144210,HOSHIARPUR,Punjab
144211,HOSHIARPUR,Punjab
144212,HOSHIARPUR,Punjab
144213,HOSHIARPUR,Punjab
144214,HOSHIARPUR,Punjab
144216,HOSHIARPUR,Punjab
144221,HOSHIARPUR,Punjab
144222,HOSHIARPUR,Punjab
144223,HOSHIARPUR,Punjab
144224,HOSHIARPUR,Punjab
144301,JALANDHAR,Punjab
144302,JALANDHAR,Punjab
144303,JALANDHAR,Punjab
144305,HOSHIARPUR,Punjab
144306,HOSHIARPUR,Punjab
144311,JALANDHAR,Punjab
144401,KAPURTHALA,Punjab
144402,JALANDHAR,Punjab
144403,JALANDHAR,Punjab
144404,HOSHIARPUR,Punjab
144405,JALANDHAR,Punjab
144406,HOSHIARPUR,Punjab
144407,JALANDHAR,Punjab
144408,JALANDHAR,Punjab
144409,JALANDHAR,Punjab
144410,JALANDHAR,Punjab
144411,KAPURTHALA,Punjab
144415,JALANDHAR,Punjab
144416,JALANDHAR,Punjab
144417,JALANDHAR,Punjab
144418,JALANDHAR,Punjab
144419,JALANDHAR,Punjab
144421,NAWANSHAHR,Punjab
144422,JALANDHAR,Punjab
144501,NAWANSHAHR,Punjab
144502,JALANDHAR,Punjab
144503,NAWANSHAHR,Punjab
144504,NAWANSHAHR,Punjab
144505,NAWANSHAHR,Punjab
144506,NAWANSHAHR,Punjab
144507,NAWANSHAHR,Punjab
144508,NAWANSHAHR,Punjab
144509,JALANDHAR,Punjab
144510,NAWANSHAHR,Punjab
144511,NAWANSHAHR,Punjab
144512,NAWANSHAHR,Punjab
144513,NAWANSHAHR,Punjab
144514,NAWANSHAHR,Punjab
144515,NAWANSHAHR,Punjab
144516,NAWANSHAHR,Punjab
144517,NAWANSHAHR,Punjab
144518,NAWANSHAHR,Punjab
144519,HOSHIARPUR,Punjab
144520,HOSHIARPUR,Punjab
144521,HOSHIARPUR,Punjab
144522,HOSHIARPUR,Punjab
144523,HOSHIARPUR,Punjab
144524,HOSHIARPUR,Punjab
144525,HOSHIARPUR,Punjab
144526,HOSHIARPUR,Punjab
144527,HOSHIARPUR,Punjab
144528,HOSHIARPUR,Punjab
144529,HOSHIARPUR,Punjab
144530,HOSHIARPUR,Punjab
144531,HOSHIARPUR,Punjab
144532,HOSHIARPUR,Punjab
144601,KAPURTHALA,Punjab
144602,KAPURTHALA,Punjab
144603,KAPURTHALA,Punjab
144606,KAPURTHALA,Punjab
144620,KAPURTHALA,Punjab
144621,KAPURTHALA,Punjab
144622,KAPURTHALA,Punjab
144623,KAPURTHALA,Punjab
144624,KAPURTHALA,Punjab
144625,KAPURTHALA,Punjab
144626,KAPURTHALA,Punjab
144628,KAPURTHALA,Punjab
144629,JALANDHAR,Punjab
144630,JALANDHAR,Punjab
144631,KAPURTHALA,Punjab
144632,KAPURTHALA,Punjab
144633,JALANDHAR,Punjab
144701,JALANDHAR,Punjab
144702,JALANDHAR,Punjab
144703,JALANDHAR,Punjab
144801,JALANDHAR,Punjab
144802,KAPURTHALA,Punjab
144803,KAPURTHALA,Punjab
144804,KAPURTHALA,Punjab
144805,JALANDHAR,Punjab
144806,JALANDHAR,Punjab
144819,KAPURTHALA,Punjab
145001,PATHANKOT,Punjab
145022,PATHANKOT,Punjab
145023,PATHANKOT,Punjab
145024,PATHANKOT,Punjab
145025,PATHANKOT,Punjab
145026,PATHANKOT,Punjab
145027,PATHANKOT,Punjab
145029,PATHANKOT,Punjab
145101,PATHANKOT,Punjab
146001,HOSHIARPUR,Punjab
146021,HOSHIARPUR,Punjab
146022,HOSHIARPUR,Punjab
146023,HOSHIARPUR,Punjab
146024,HOSHIARPUR,Punjab
146101,HOSHIARPUR,Punjab
146102,HOSHIARPUR,Punjab
146103,HOSHIARPUR,Punjab
146104,HOSHIARPUR,Punjab
146105,HOSHIARPUR,Punjab
146106,HOSHIARPUR,Punjab
146107,HOSHIARPUR,Punjab
146108,HOSHIARPUR,Punjab
146109,HOSHIARPUR,Punjab
146110,HOSHIARPUR,Punjab
146111,HOSHIARPUR,Punjab
146112,HOSHIARPUR,Punjab
146113,HOSHIARPUR,Punjab
146114,HOSHIARPUR,Punjab
146115,HOSHIARPUR,Punjab
146116,HOSHIARPUR,Punjab
147001,PATIALA,Punjab
147002,PATIALA,Punjab
147003,PATIALA,Punjab
147004,PATIALA,Punjab
147005,PATIALA,Punjab
147006,PATIALA,Punjab
147007,PATIALA,Punjab
147021,PATIALA,Punjab
147101,PATIALA,Punjab
147102,PATIALA,Punjab
147103,PATIALA,Punjab
147104,FATEHGARH SAHIB,Punjab
147105,PATIALA,Punjab
147111,PATIALA,Punjab
147201,PATIALA,Punjab
147202,PATIALA,Punjab
147203,FATEHGARH SAHIB,Punjab
147301,FATEHGARH SAHIB,Punjab
148001,SANGRUR,Punjab
148002,SANGRUR,Punjab
148017,SANGRUR,Punjab
148018,SANGRUR,Punjab
148019,SANGRUR,Punjab
148020,SANGRUR,Punjab
148021,SANGRUR,Punjab
148022,SANGRUR,Punjab
148023,SANGRUR,Punjab
148024,SANGRUR,Punjab
148025,SANGRUR,Punjab
148026,SANGRUR,Punjab
148027,SANGRUR,Punjab
148028,SANGRUR,Punjab
148029,SANGRUR,Punjab
148030,SANGRUR,Punjab
148031,SANGRUR,Punjab
148033,SANGRUR,Punjab
148034,SANGRUR,Punjab
148035,SANGRUR,Punjab
148100,SANGRUR,Punjab
148101,SANGRUR,Punjab
148102,SANGRUR,Punjab
148103,SANGRUR,Punjab
148104,SANGRUR,Punjab
148105,SANGRUR,Punjab
148106,SANGRUR,Punjab
148107,SANGRUR,Punjab
148108,SANGRUR,Punjab
148109,SANGRUR,Punjab
151001,BATHINDA,Punjab
151002,BATHINDA,Punjab
151003,BATHINDA,Punjab
151004,BATHINDA,Punjab
151005,BATHINDA,Punjab
151101,BATHINDA,Punjab
151102,BATHINDA,Punjab
151103,BATHINDA,Punjab
151104,BATHINDA,Punjab
151105,BATHINDA,Punjab
151106,BATHINDA,Punjab
151108,BATHINDA,Punjab
151111,BATHINDA,Punjab
151201,BATHINDA,Punjab
151202,FARIDKOT,Punjab
151203,FARIDKOT,Punjab
