Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1902,peace,élie Ducommun,19 February 1833,Geneva,Switzerland,Switzerland," Honorary Secretary, Permanent International Peace Bureau, Bern, Switzerland", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1902 was awarded jointly to élie Ducommun and Charles Albert Gobat
1902,physics,Hendrik Antoon Lorentz,18 July 1853,Arnhem,the Netherlands,No Data," Leiden University, Leiden, the Netherlands"," Atomic physics, quantum physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1902 was awarded jointly to Hendrik Antoon Lorentz and Pieter Zeeman in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1902,physics,Pieter Zeeman,25 May 1865,Zonnemaire,the Netherlands,No Data," Amsterdam University, Amsterdam, the Netherlands"," Atomic physics, quantum physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1902 was awarded jointly to Hendrik Antoon Lorentz and Pieter Zeeman in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
1903,chemistry,Svante August Arrhenius,19 February 1859,Vik,Sweden,No Data," Stockholm University, Stockholm, Sweden"," Physical chemistry, chemical kinetics",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1903 was awarded to Svante Arrhenius in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation.
1903,literature,Bjørnstjerne Martinus Bjørnson,8 December 1832,Kvikne,Norway,Norway,No Data, Norwegian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1903 was awarded to Bjørnstjerne Bjørnson as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit."
1903,medicine,Niels Ryberg Finsen,15 December 1860,Thorshavn,Faroe Islands,No Data," Finsen Medical Light Institute, Copenhagen, Denmark",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1903 was awarded to Niels Ryberg Finsen in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science."
1903,peace,William Randal Cremer,18 March 1828,Fareham,United Kingdom,United Kingdom," Secretary, International Arbitration League, Member, British Parliament"," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1903 was awarded to Randal Cremer.
1903,physics,Antoine Henri Becquerel,15 December 1852,Paris,France,No Data," école Polytechnique, Paris, France", Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
1903,physics,"Marie Curie, née Sklodowska",7 November 1867,Warsaw,Russian Empire (now Poland),No Data,, Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
1903,physics,Pierre Curie,15 May 1859,Paris,France,No Data," école municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry), Paris, France", Nuclear physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1903 was divided, one half awarded to Antoine Henri Becquerel in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,the other half jointly to Pierre Curie and Marie Curie, née Sklodowska in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel."
1904,chemistry,Sir William Ramsay,2 October 1852,Glasgow,Scotland,No Data," University College, London, United Kingdom"," Inorganic chemistry, nuclear chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1904 was awarded to Sir William Ramsay in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system."
1904,literature,Frédéric Mistral,8 September 1830,Maillane,France,France,No Data, Occitan,The Nobel Prize in Literature,"The Nobel Prize in Literature 1904 was divided equally between Frédéric Mistral in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist and José Echegaray y Eizaguirre in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama."
1904,literature,José Echegaray y Eizaguirre,19 April 1832,Madrid,Spain,Spain,No Data, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1904 was divided equally between Frédéric Mistral in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist and José Echegaray y Eizaguirre in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama."
1904,medicine,Ivan Petrovich Pavlov,14 September 1849,Ryazan,Russia,No Data," Military Medical Academy, St. Petersburg, Russia",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1904 was awarded to Ivan Pavlov in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged."
1904,peace,Institut de droit international (Institute of International Law),1873 in Ghent,No Data,Belgium,No Data, Scientific society," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1904 was awarded to Institute of International Law.
1904,physics,Lord Rayleigh (John William Strutt),12 November 1842,Langford Grove Maldon Essex,United Kingdom,No Data," Royal Institution of Great Britain, London, United Kingdom"," Gas physics, molecular physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1904 was awarded to Lord Rayleigh for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies.
1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer,31 October 1835,Berlin,Prussia (now Germany),No Data," Munich University, Munich, Germany"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1905 was awarded to Adolf von Baeyer in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds."
1905,literature,Henryk Sienkiewicz,5 May 1846,Wola Okrzejska,Poland,Poland,No Data, Polish,The Nobel Prize in Literature,The Nobel Prize in Literature 1905 was awarded to Henryk Sienkiewicz because of his outstanding merits as an epic writer.
1905,medicine,Robert Koch,11 December 1843,Clausthal (now Clausthal-Zellerfeld),Germany,No Data," Institute for Infectious Diseases, Berlin, Germany",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1905 was awarded to Robert Koch for his investigations and discoveries in relation to tuberculosis.
1905,peace,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",9 June 1843,Prague,Austrian Empire (now Czech Republic),Austria," Author of <i>Lay Down Your Arms</i>, Honorary President of Permanent International Peace Bureau, Berne, Switzerland", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1905 was awarded to Bertha von Suttner.
1905,physics,Philipp Eduard Anton von Lenard,7 June 1862,Pressburg (now Bratislava),Hungary (now Slovakia),No Data," Kiel University, Kiel, Germany", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1905 was awarded to Philipp Lenard for his work on cathode rays.
1906,chemistry,Henri Moissan,28 September 1852,Paris,France,No Data," Sorbonne University, Paris, France"," Inorganic chemistry, nuclear chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1906 was awarded to Henri Moissan in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him."
1906,literature,Giosuè Carducci,27 July 1835,Val di Castello,Tuscany (now Italy),Italy,No Data, Italian,The Nobel Prize in Literature,"The Nobel Prize in Literature 1906 was awarded to Giosuè Carducci not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces."
1906,medicine,Camillo Golgi,7 July 1843,Corteno,Italy,No Data," Pavia University, Pavia, Italy",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1906 was awarded jointly to Camillo Golgi and Santiago Ramón y Cajal in recognition of their work on the structure of the nervous system
1906,medicine,Santiago Ramón y Cajal,1 May 1852,Petilla de Aragó,Spain,No Data," Madrid University, Madrid, Spain",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1906 was awarded jointly to Camillo Golgi and Santiago Ramón y Cajal in recognition of their work on the structure of the nervous system
1906,peace,Theodore Roosevelt,27 October 1858,New York NY,USA,USA," Collaborator of various peace treaties, President of United States of America", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1906 was awarded to Theodore Roosevelt.
1906,physics,Joseph John Thomson,18 December 1856,Cheetham Hill near Manchester,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", Atomic physics,The Nobel Prize in Physics,The Nobel Prize in Physics 1906 was awarded to J.J. Thomson in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases.
1907,chemistry,Eduard Buchner,20 May 1860,Munich,Bavaria (now Germany),No Data," Landwirtschaftliche Hochschule (Agricultural College), Berlin, Germany", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1907 was awarded to Eduard Buchner for his biochemical researches and his discovery of cell-free fermentation.
1907,literature,Rudyard Kipling,30 December 1865,Bombay,British India,United Kingdom,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1907 was awarded to Rudyard Kipling in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author."
1907,medicine,Charles Louis Alphonse Laveran,18 June 1845,Paris,France,No Data," Institut Pasteur, Paris, France",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1907 was awarded to Alphonse Laveran in recognition of his work on the role played by protozoa in causing diseases.
1907,peace,Ernesto Teodoro Moneta,20 September 1833,Milan,Austrian Empire (now Italy),Italy," President, Lombard League of Peace"," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault
1907,peace,Louis Renault,21 May 1843,Autun,France,France, Professor International Law," Peace movement, world organizing",The Nobel Peace Prize,The Nobel Peace Prize 1907 was awarded jointly to Ernesto Teodoro Moneta and Louis Renault
1907,physics,Albert Abraham Michelson,19 December 1852,Strelno (now Strzelno),Prussia (now Poland),No Data," University of Chicago, Chicago, IL, USA"," Optical physics, electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1907 was awarded to Albert A. Michelson for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid.
1908,chemistry,Ernest Rutherford,31 August 1871,Nelson,New Zealand,No Data," Victoria University, Manchester, United Kingdom", Nuclear chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1908 was awarded to Ernest Rutherford for his investigations into the disintegration of the elements, and the chemistry of radioactive substances."
1908,literature,Rudolf Christoph Eucken,5 January 1846,Aurich,East Friesland (now Germany),Germany,No Data, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1908 was awarded to Rudolf Eucken in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life."
1908,medicine,Ilya Ilyich Mechnikov,16 May 1845,Kharkov (now Kharkiv),Russian Empire (now Ukraine),No Data," Institut Pasteur, Paris, France",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1908 was awarded jointly to Ilya Ilyich Mechnikov and Paul Ehrlich in recognition of their work on immunity
1908,medicine,Paul Ehrlich,14 March 1854,Strehlen (now Strzelin),Prussia (now Poland),No Data," Goettingen University, Goettingen, Germany, Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy), Frankfurt-on-the-Main, Germany",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1908 was awarded jointly to Ilya Ilyich Mechnikov and Paul Ehrlich in recognition of their work on immunity
1908,peace,Fredrik Bajer,21 April 1837,Næstved,Denmark,Denmark," Honorary President of Permanent International Peace Bureau, Berne, Switzerland, Member, Danish Parliament", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer
1908,peace,Klas Pontus Arnoldson,27 October 1844,Gothenburg,Sweden,Sweden," Founder of Swedish Peace and Arbitration League, Formerly Member of Swedish Parliament, Writer", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1908 was awarded jointly to Klas Pontus Arnoldson and Fredrik Bajer
1908,physics,Gabriel Lippmann,16 August 1845,Hollerich,Luxembourg,No Data," Sorbonne University, Paris, France"," Optical physics, applied optical physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1908 was awarded to Gabriel Lippmann for his method of reproducing colours photographically based on the phenomenon of interference.
1909,chemistry,Wilhelm Ostwald,2 September 1853,Riga Latvia,Russian Empire,No Data," Leipzig University, Leipzig, Germany", Physical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1909 was awarded to Wilhelm Ostwald in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction.
1909,literature,Selma Ottilia Lovisa Lagerlöf,20 November 1858,Mårbacka,Sweden,Sweden,No Data, Swedish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1909 was awarded to Selma Lagerlöf in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings."
1909,medicine,Emil Theodor Kocher,25 August 1841,Berne,Switzerland,No Data," Berne University, Berne, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1909 was awarded to Theodor Kocher for his work on the physiology, pathology and surgery of the thyroid gland."
1909,peace,Auguste Marie François Beernaert,26 July 1829,Ostend,Belgium,Belgium," Member of Cour Internationale d'arbitrage at the Hague, Member, Belgian Parliament, ex-Prime Minister"," Peace movement, world organizing",The Nobel Peace Prize,"The Nobel Peace Prize 1909 was awarded jointly to Auguste Marie François Beernaert and Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque"
1909,physics,Guglielmo Marconi,25 April 1874,Bologna,Italy,No Data," Marconi Wireless Telegraph Co. Ltd., London, United Kingdom"," Electromagnetism, applied electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1909 was awarded jointly to Guglielmo Marconi and Karl Ferdinand Braun in recognition of their contributions to the development of wireless telegraphy
1909,physics,Karl Ferdinand Braun,6 June 1850,Fulda,Hesse-Kassel (now Germany),No Data," Strasbourg University, Strasbourg, Alsace, then Germany"," Electromagnetism, applied electromagnetism",The Nobel Prize in Physics,The Nobel Prize in Physics 1909 was awarded jointly to Guglielmo Marconi and Karl Ferdinand Braun in recognition of their contributions to the development of wireless telegraphy
1910,chemistry,Otto Wallach,27 March 1847,Koenigsberg (now Kaliningrad),Germany (now Russia),No Data," Goettingen University, Goettingen, Germany"," Organic chemistry, industrial chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1910 was awarded to Otto Wallach in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds.
1910,literature,Paul Johann Ludwig Heyse,15 March 1830,Berlin,Prussia (now Germany),Germany,No Data, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1910 was awarded to Paul Heyse as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories."
1910,medicine,Albrecht Kossel,16 September 1853,Rostock,Mecklenburg (now Germany),No Data," University of Heidelberg, Heidelberg, Germany",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1910 was awarded to Albrecht Kossel in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances."
1910,peace,Bureau international permanent de la Paix (Permanent International Peace Bureau),1891 in Berne,No Data,Switzerland,No Data,, Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1910 was awarded to Permanent International Peace Bureau.
1910,physics,Johannes Diderik van der Waals,23 November 1837,Leiden,the Netherlands,No Data," Amsterdam University, Amsterdam, the Netherlands"," Gas physics, molecular physics",The Nobel Prize in Physics,The Nobel Prize in Physics 1910 was awarded to Johannes Diderik van der Waals for his work on the equation of state for gases and liquids.
1911,chemistry,"Marie Curie, née Sklodowska",7 November 1867,Warsaw,Russian Empire (now Poland),No Data," Sorbonne University, Paris, France", Nuclear chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1911 was awarded to Marie Curie in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element."
1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,29 August 1862,Ghent,Belgium,Belgium,No Data, French,The Nobel Prize in Literature,"The Nobel Prize in Literature 1911 was awarded to Maurice Maeterlinck in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations."
1911,medicine,Allvar Gullstrand,5 June 1862,Landskrona,Sweden,No Data," Uppsala University, Uppsala, Sweden",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1911 was awarded to Allvar Gullstrand for his work on the dioptrics of the eye.
1911,peace,Alfred Hermann Fried,11 November 1864,Vienna,Austria,Austria," Founder of <i>Die Friedenswarte</i> (a peace publication), Journalist",No Data,The Nobel Peace Prize,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried
1911,peace,Tobias Michael Carel Asser,28 April 1838,Amsterdam,the Netherlands,the Netherlands," Lawyer, Cabinet Minister, Initiator of the Conferences on International Private Law at the Hague", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1911 was awarded jointly to Tobias Michael Carel Asser and Alfred Hermann Fried
1911,physics,Wilhelm Wien,13 January 1864,Gaffken (now Parusnoye),Prussia (now Russia),No Data," Würzburg University, Würzburg, Germany", Electromagnetism,The Nobel Prize in Physics,The Nobel Prize in Physics 1911 was awarded to Wilhelm Wien for his discoveries regarding the laws governing the radiation of heat.
1912,chemistry,Paul Sabatier,5 November 1854,Carcassonne,France,No Data," Toulouse University, Toulouse, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1912 was divided equally between Victor Grignard for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry and Paul Sabatier for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years."
1912,chemistry,Victor Grignard,6 May 1871,Cherbourg,France,No Data," Nancy University, Nancy, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1912 was divided equally between Victor Grignard for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry and Paul Sabatier for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years."
1912,literature,Gerhart Johann Robert Hauptmann,15 November 1862,Bad Salzbrunn,Prussia (now Germany),Germany,No Data, German,The Nobel Prize in Literature,"The Nobel Prize in Literature 1912 was awarded to Gerhart Hauptmann primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art."
1912,medicine,Alexis Carrel,28 June 1873,Sainte-Foy-lès-Lyon,France,No Data," Rockefeller Institute for Medical Research, New York, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1912 was awarded to Alexis Carrel in recognition of his work on vascular suture and the transplantation of blood vessels and organs.
1912,peace,Elihu Root,15 February 1845,Clinton NY,USA,USA," Originator of various treaties of arbitration, ex-Secretary of State", Negotiation,The Nobel Peace Prize,The Nobel Peace Prize 1912 was awarded to Elihu Root.
1912,physics,Nils Gustaf Dalén,30 November 1869,Stenstorp,Sweden,No Data," Swedish Gas-Accumulator Co., Lidingö-Stockholm, Sweden"," Mechanics, applied mechanics",The Nobel Prize in Physics,The Nobel Prize in Physics 1912 was awarded to Gustaf Dalén for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys.
1913,chemistry,Alfred Werner,12 December 1866,Mulhouse,France,No Data," University of Zurich, Zurich, Switzerland", Inorganic chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1913 was awarded to Alfred Werner in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry.
1913,literature,Rabindranath Tagore,7 May 1861,Calcutta,India,India,No Data, Bengali and English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1913 was awarded to Rabindranath Tagore because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West."
1913,medicine,Charles Robert Richet,26 August 1850,Paris,France,No Data," Sorbonne University, Paris, France",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1913 was awarded to Charles Richet in recognition of his work on anaphylaxis.
1913,peace,Henri La Fontaine,22 April 1854,Brussels,Belgium,Belgium," President, Permanent International Peace Bureau, Berne, Switzerland, Member, Belgian Parliament (Sénateur)", Peace movement,The Nobel Peace Prize,The Nobel Peace Prize 1913 was awarded to Henri La Fontaine.
1913,physics,Heike Kamerlingh Onnes,21 September 1853,Groningen,the Netherlands,No Data," Leiden University, Leiden, the Netherlands", Superconductivity,The Nobel Prize in Physics,"The Nobel Prize in Physics 1913 was awarded to Heike Kamerlingh Onnes for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium."
1914,chemistry,Theodore William Richards,31 January 1868,Germantown PA,USA,No Data," Harvard University, Cambridge, MA, USA", Physical chemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1914 was awarded to Theodore W. Richards in recognition of his accurate determinations of the atomic weight of a large number of chemical elements.
1914,medicine,Robert Bárány,22 April 1876,Vienna,Austria,No Data," Vienna University, Vienna, Austria",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1914 was awarded to Robert Bárány for his work on the physiology and pathology of the vestibular apparatus.
1914,physics,Max von Laue,9 October 1879,Pfaffendorf,Germany,No Data," Frankfurt-on-the-Main University, Frankfurt-on-the-Main, Germany"," Atomic physics, interferometry",The Nobel Prize in Physics,The Nobel Prize in Physics 1914 was awarded to Max von Laue for his discovery of the diffraction of X-rays by crystals.
1915,chemistry,Richard Martin Willstätter,13 August 1872,Karlsruhe,Germany,No Data," Munich University, Munich, Germany"," Organic chemistry, natural products chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1915 was awarded to Richard Willstätter for his researches on plant pigments, especially chlorophyll."
1915,literature,Romain Rolland,29 January 1866,Clamecy,France,France,No Data, French,The Nobel Prize in Literature,The Nobel Prize in Literature 1915 was awarded to Romain Rolland as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings.
1915,physics,Sir William Henry Bragg,2 July 1862,Wigton,United Kingdom,No Data," University College, London, United Kingdom"," Crystallography, X-rays",The Nobel Prize in Physics,The Nobel Prize in Physics 1915 was awarded jointly to Sir William Henry Bragg and William Lawrence Bragg for their services in the analysis of crystal structure by means of X-rays
1915,physics,William Lawrence Bragg,31 March 1890,Adelaide,Australia,No Data," Victoria University, Manchester, United Kingdom"," Crystallography, X-rays",The Nobel Prize in Physics,The Nobel Prize in Physics 1915 was awarded jointly to Sir William Henry Bragg and William Lawrence Bragg for their services in the analysis of crystal structure by means of X-rays
1916,literature,Carl Gustaf Verner von Heidenstam,6 July 1859,Olshammar,Sweden,Sweden,No Data, Swedish,The Nobel Prize in Literature,The Nobel Prize in Literature 1916 was awarded to Verner von Heidenstam in recognition of his significance as the leading representative of a new era in our literature.
1917,literature,Henrik Pontoppidan,24 July 1857,Fredericia,Denmark,Denmark,No Data, Danish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1917 was divided equally between Karl Adolph Gjellerup for his varied and rich poetry, which is inspired by lofty ideals and Henrik Pontoppidan for his authentic descriptions of present-day life in Denmark."
1917,literature,Karl Adolph Gjellerup,2 June 1857,Roholte,Denmark,Denmark,No Data, Danish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1917 was divided equally between Karl Adolph Gjellerup for his varied and rich poetry, which is inspired by lofty ideals and Henrik Pontoppidan for his authentic descriptions of present-day life in Denmark."
