institute_id,name,tlr,rpc,go,oi,perception,city,state,rank
IR-E-U-0374,Dr  B  R  Ambedkar National Institute of Technology,66.18,25.99,59.76,58.66,9.84,Jalandhar,Punjab,52
IR-E-U-0395,Indian Institute of Technology Jodhpur,67.71,26.19,56.17,59.29,8.05,Jodhpur,Rajasthan,53
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,57.49,31.2,62.46,55.13,9.84,Surat,Gujarat,54
IR-E-U-0249,Visvesvaraya Technological University,66.34,30.98,53.14,49.19,6.18,Belgaum,Karnataka,55
IR-E-U-0105,Indraprastha Institute of Information Technology Delhi,55.18,29.8,67.58,41.15,18.86,New Delhi,Delhi,56
IR-E-U-0017,Jawaharlal Nehru Technological University,71.72,29.24,40.88,53.9,11.13,Hyderabad,Telangana,57
IR-E-U-0020,Koneru Lakshmaiah Education Foundation University,70.69,28.57,44.25,54.5,6.18,Vaddeswaram,Andhra Pradesh,58
IR-E-C-1331,M  S  Ramaiah Institute of Technology,65.53,13.98,62.74,55.31,18.15,Bengaluru,Karnataka,59
IR-E-U-0458,Kalasalingam Academy of Research and Higher Education,68.66,18.42,54.26,62.06,5.21,Srivilliputtur,Tamil Nadu,60
IR-E-U-0619,National Institute of Technology Meghalaya,66.27,20.64,54.64,59.35,7.59,Shillong,Meghalaya,61
IR-E-U-0221,International Institute of Information Technology Bangalore,59.63,17.63,63.93,57.99,17.79,Bengaluru,Karnataka,62
IR-E-U-0297,Defence Institute of Advanced Technology,64.43,32.96,44.38,47.56,2.69,Pune,Maharashtra,63
IR-E-C-26794,Thiagarajar College of Engineering,59.67,18.32,59.11,51.54,27.44,Madurai,Tamil Nadu,64
IR-E-U-0284,Maulana Azad National Institute of Technology,52.55,28.36,64.27,47.33,3.2,Bhopal,Madhya Pradesh,65
IR-E-U-0795,Indian Institute of Information Technology Guwahati,64.22,6.8,58.52,52.43,36.68,Guwahati,Assam,66
IR-E-U-0092,National Institute of Technology Raipur,58.88,24.26,56.99,50.7,1.63,Raipur,Chhattisgarh,67
IR-E-U-0080,Punjab Engineering College  Deemed To Be University,55.66,14.2,64.1,56.64,19.9,Chandigarh,Chandigarh,68
IR-E-C-24004,College of Engineering A,65.32,10.04,63.72,54.35,5.69,Visakhapatnam,Andhra Pradesh,69
IR-E-C-1269,R  V  College of Engineering,63.06,13.29,59.79,48.3,13.2,Bengaluru,Karnataka,70
IR-E-C-33641,Veermata Jijabai Technological Institute,57.29,11.04,68.16,52.93,11.55,Mumbai,Maharashtra,71
IR-E-U-0078,Panjab University,40.82,43.55,51.63,40.27,7.59,Chandigarh,Chandigarh,72
IR-E-C-1262,B M S  College of Engineering,62.07,11.92,55.53,52.58,17.79,Bengaluru,Karnataka,73
IR-E-C-45375,Indian Institute of Food Processing Technology  IIFPT,70.18,5.41,53.5,58.94,9.84,Thanjavur,Tamil Nadu,74
IR-E-U-0493,National Institute of Technology Agartala,57.69,21.55,48.22,55.37,10.27,Agratala,Tripura,75
IR-E-C-6379,Netaji Subhas University of Technology  NSUT,49.6,22.68,62.41,44.55,13.6,South West,Delhi,76
IR-E-U-0620,National Institute of Technology Goa,57.39,18.33,52.11,56.77,11.13,Ponda,Goa,77
IR-E-U-0201,Shri Mata Vaishno Devi University,69.41,18.63,41.79,48.0,1.1,Katra,Jammu and Kashmir,78
IR-E-U-0207,National Institute of Technology Jamshedpur,56.64,12.85,64.87,45.15,11.13,Jamshedpur,Jharkhand,79
IR-E-U-0460,Karunya Institute of Technology and Sciences,56.5,20.5,50.75,54.83,6.65,Coimbatore,Tamil Nadu,80
IR-E-U-0286,Indian Institute of Information Technology Design   Manufacturing Jabalpur,45.42,30.89,59.4,43.47,1.63,Jabalpur,Madhya Pradesh,81
IR-E-C-36926,Kumaraguru College of Technology,63.11,11.35,54.41,45.37,14.79,Coimbatore,Tamil Nadu,82
IR-E-C-36995,Sri Krishna College of Engineering and Technology,62.69,4.26,63.05,48.54,12.79,Coimbatore,Tamil Nadu,83
IR-E-U-0747,Chandigarh University,64.38,4.74,51.98,74.73,2.16,Mohali,Punjab,84
IR-E-C-43708,College of Engineering Trivandrum,59.37,10.39,55.58,49.98,16.31,Thiruvananthapuram,Kerala,85
IR-E-U-0099,Guru Gobind Singh Indraprastha University,46.4,32.31,49.33,47.61,3.71,New Delhi,Delhi,86
IR-E-U-0379,Lovely Professional University,58.12,15.2,48.55,65.11,2.16,Phagwara,Punjab,87
IR-E-C-27616,University College of Engineering,60.88,4.28,65.2,53.66,4.72,Hyderabad,Telangana,88
IR-E-U-0555,Graphic Era University,58.7,12.89,48.0,58.38,14.0,Dehradun,Uttarakhand,89
IR-E-C-36969,Coimbatore Institute of Technology,64.87,6.88,45.81,48.63,26.86,Coimbatore,Tamil Nadu,90
IR-E-C-1297,Siddaganga Institute of Technology,60.33,13.44,54.58,50.17,1.63,Tumkur,Karnataka,91
IR-E-U-0072,National Institute of Technology Patna,52.49,16.6,59.09,43.42,13.2,Patna,Bihar,92
IR-E-C-30045,C V  Raman Global University,59.49,5.07,58.7,57.65,10.7,Bhubaneswar,Odisha,93
IR-E-U-0733,PES University,57.56,12.2,55.31,49.22,10.27,Bengaluru,Karnataka,93
IR-E-U-0489,Vel Tech Rangarajan Dr  Sagunthala R   D Institute of Science and Technology,57.7,24.09,36.36,59.88,0.55,Chennai,Tamil Nadu,95
IR-E-U-0522,Jaypee Institute of Information Technology,50.85,19.39,53.38,50.64,9.84,Noida,Uttar Pradesh,96
IR-E-C-18154,University College of Engineering,58.25,10.41,59.54,50.97,1.63,Kakinada,Andhra Pradesh,97
IR-E-U-0189,National Institute of Technology Hamirpur,45.32,22.62,60.94,45.84,5.69,Hamirpur,Himachal Pradesh,98
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,54.62,3.35,65.4,66.06,6.18,Pune,Maharashtra,99
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,45.99,17.51,62.35,53.2,7.59,Gwalior,Madhya Pradesh,100
IR-E-C-27058,Mepco Schlenk Engineering College,49.72,18.31,52.51,47.18,18.86,Sivakasi,Tamil Nadu,101
IR-E-U-0507,Dayalbagh Educational Institute,61.29,7.89,52.51,53.47,8.95,Agra,Uttar Pradesh,102
IR-E-U-0516,Indian Institute of Information Technology Allahabad,42.8,15.69,68.87,44.19,16.69,Prayagraj (Allahabad),Uttar Pradesh,103
IR-E-U-0382,Punjab Technical University,68.53,31.0,13.06,43.6,2.69,Kapurthala,Punjab,104
IR-E-C-36975,Government College of Technology,53.25,9.94,51.64,53.9,24.15,Coimbatore,Tamil Nadu,104
IR-E-C-16626,Rajalakshmi Engineering College,62.19,4.51,57.76,51.77,2.69,Chennai,Tamil Nadu,106
IR-E-U-0454,Hindustan Institute of Technology  and Science  HITS,59.79,11.96,46.62,56.11,5.21,Chennai,Tamil Nadu,107
IR-E-C-16547,Sri Sairam Engineering College,57.03,6.36,58.74,58.23,3.2,Kancheepuram,Tamil Nadu,108
IR-E-C-42054,Army Institute of Technology,54.68,2.33,64.18,62.39,6.65,Pune,Maharashtra,109
IR-E-U-0163,The Northcap University,54.88,13.94,56.91,48.16,0.0,Gurgaon,Haryana,110
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,47.25,10.86,68.33,49.81,7.12,Gandhinagar,Gujarat,111
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,53.75,22.22,46.02,47.26,0.0,Solan,Himachal Pradesh,112
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,60.35,5.29,56.88,51.33,4.22,Nagpur,Maharashtra,113
IR-E-C-1371,New Horizon College of Engineering,55.94,5.26,63.07,55.65,0.55,Bengaluru,Karnataka,114
IR-E-U-0186,Jaypee University of Information Technology,48.53,18.76,54.81,46.44,7.59,Solan,Himachal Pradesh,115
IR-E-U-0143,Maharaja Sayajirao University of Baroda,57.31,13.41,51.16,47.33,3.71,Vadodara,Gujarat,116
IR-E-U-0223,Jain University,49.08,23.49,46.44,53.2,1.1,Bengluru,Karnataka,117
IR-E-U-0043,Vignan s Foundation for Science  Technology   Research,59.21,8.03,49.36,57.2,5.21,Guntur,Andhra Pradesh,118
IR-E-U-0367,Veer Surendra Sai University of Technology,51.53,19.97,47.54,46.54,5.21,Burla,Odisha,119
IR-E-U-0175,YMCA University of Science and Technology,60.17,6.39,55.19,47.37,1.63,Faridabad,Haryana,120
IR-E-S-8898,National Institute of Food Technology  Enterprenurship   Management,53.96,3.72,59.1,64.06,1.1,Sonipat,Haryana,121
IR-E-C-6581,Pondicherry Engineering College,55.46,15.73,43.96,40.61,12.79,Puducherry,Pondicherry,122
IR-E-U-0445,B  S  Abdur Rahman Crescent Institute of Science and Technology,62.25,8.72,45.67,45.18,4.72,Chennai,Tamil Nadu,123
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,57.82,2.01,57.52,50.22,8.5,Hyderabad,Telangana,124
IR-E-C-33773,Bharatiya Vidya Bhavan s Sardar Patel Institute of Technology,53.58,7.74,59.93,46.69,2.16,Mumbai,Maharashtra,125
IR-E-C-1413,Dayananda Sagar College of Engineering,51.56,6.69,57.99,54.63,5.69,Bengaluru,Karnataka,126
IR-E-C-19667,Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering and Technology,62.78,6.38,44.97,50.33,2.16,Hyderabad,Telangana,127
IR-E-C-1352,Nitte Meenakshi Institute of Technology,58.44,6.1,49.4,53.09,4.22,Bengaluru,Karnataka,128
IR-E-U-0774,DIT University,58.78,7.54,43.77,59.09,3.71,Dehradun,Uttarakhand,129
IR-E-U-0621,National Institute of Technology Puducherry,54.57,3.41,54.45,58.82,7.12,Karaikal,Pondicherry,130
IR-E-U-0146,Nirma University,53.9,10.82,50.6,46.14,7.12,Ahmedabad,Gujarat,131
IR-E-C-1412,JSS Science and Technology University,55.76,3.86,54.88,51.44,8.05,Mysuru,Karnataka,132
IR-E-C-1400,N M A M Institute of Technology,58.73,5.43,50.17,48.85,5.69,"Nitte, 
Udupi",Karnataka,133
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,56.16,7.55,56.28,42.16,0.0,Amethi,Uttar Pradesh,134
IR-E-C-37065,Kongu Engineering College,58.13,5.76,46.86,44.25,14.79,Perundurai,Tamil Nadu,135
IR-E-U-0854,KLE Technological University,56.85,8.11,48.85,49.29,1.63,Dharwad,Karnataka,136
IR-E-U-0384,Sant Longowal Institute of Engineering   Technology,59.28,17.63,27.04,55.09,2.69,Longowal,Punjab,137
IR-E-U-0938,Dr  Vishwanath Karad MIT World Peace University,60.56,4.32,47.57,48.17,3.71,Pune,Maharashtra,138
IR-E-C-18817,G  H  Raisoni College of Engineering,46.65,9.68,61.0,49.25,0.55,Nagpur,Maharashtra,139
IR-E-C-18254,Yeshwantrao Chavan College of Engineering,51.75,8.58,53.65,52.42,0.0,Nagpur,Maharashtra,139
IR-E-C-19607,CVR College Of Engineering,57.68,1.21,54.84,51.32,1.1,Ibrahimpatan,Telangana,141
IR-E-C-37089,Sri Ramakrishna Engineering College,54.46,5.15,53.3,46.28,6.18,Coimbatore,Tamil Nadu,142
IR-E-C-19650,Vardhaman College of Engineering,57.23,4.18,52.41,48.49,0.0,Rangareddy,Telangana,143
IR-E-U-0332,The Rashtrasant Tukadoji Maharaj Nagpur University,41.84,24.72,48.59,39.99,0.0,Nagpur,Maharashtra,144
IR-E-U-0046,North Eastern Regional Institute of Science   Technology,64.04,9.76,33.3,43.05,5.69,Itanagar,Arunachal Pradesh,145
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,42.33,8.13,63.06,53.96,5.21,Delhi,Delhi,145
IR-E-C-1345,P E S College of Engineering,59.25,0.71,51.11,54.45,0.0,Mandya,Karnataka,147
IR-E-C-43264,National Institute of Foundry and Forge Technology  NIFFT,54.46,2.27,58.68,41.41,6.65,Ranchi,Jharkhand,148
IR-E-I-1441,Saveetha Institute of Medical and Technical Sciences,49.09,12.43,41.93,66.36,0.55,Chennai,Tamil Nadu,149
IR-E-C-37028,Sona College of Technology,53.05,6.12,52.87,46.82,5.21,Salem,Tamil Nadu,150
IR-E-N-10,SVKM s Narsee Monjee Institute of Management Studies,56.06,5.17,48.62,51.89,2.16,Mumbai,Maharashtra,151
IR-E-C-37064,Sri Krishna College of Technology,51.06,4.37,58.86,46.6,3.71,Coimbatore,Tamil Nadu,152
IR-E-U-0037,Sri Venkateswara University,42.43,27.73,38.0,42.67,3.71,Tirupati,Andhra Pradesh,153
IR-E-C-6202,Heritage Institute of Technology,52.26,4.9,50.4,54.15,6.18,Kolkata,West Bengal,154
IR-E-C-16614,R  M  K  Engineering College,54.27,2.25,54.24,53.21,1.1,Thiruvallur,Tamil Nadu,155
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,55.02,5.36,47.11,53.23,2.69,Vijayawada,Andhra Pradesh,156
IR-E-U-0592,Maulana Abul Kalam Azad University of Technology,41.49,16.75,52.96,47.42,2.69,Nadia,West Bengal,157
IR-E-U-0613,National Institute of Technology Manipur,54.89,8.29,42.86,53.25,1.63,Imphal,Manipur,158
IR-E-U-0213,Alliance University,47.89,1.88,63.26,53.12,1.1,Bengaluru,Karnataka,159
IR-E-C-16537,St  Josephs College of Engineering,53.65,6.81,52.88,42.44,0.0,Kancheepuram,Tamil Nadu,160
IR-E-C-19754,SR Engineering College,62.29,1.91,31.2,62.13,12.38,Warangal,Telangana,160
IR-E-U-0604,Amity University Gwalior,56.79,1.4,54.03,46.1,0.0,Gwalior,Madhya Pradesh,162
IR-E-C-6238,Haldia Institute of Technology,49.15,6.8,50.2,55.8,4.22,Haldia,West Bengal,163
IR-E-C-8277,Government Engineering College,57.13,2.86,49.94,45.99,2.16,Thrissur,Kerala,164
IR-E-I-1015,Vishwakarma Institute of Technology,47.21,6.45,59.26,44.53,3.2,Pune,Maharashtra,165
IR-E-U-0864,Harcourt Butler Technical University,59.15,2.31,46.82,42.34,6.65,Kanpur Nagar,Uttar Pradesh,166
IR-E-U-0564,University of Petroleum and Energy Studies,48.86,14.26,39.13,53.15,4.22,Dehradun,Uttarakhand,167
IR-E-C-11015,Walchand College of Engineering,50.11,4.15,54.99,47.43,3.71,Sangli,Maharashtra,168
IR-E-C-1336,BMS Institute of Technology   Management,48.02,4.04,51.43,53.36,11.13,Bengaluru,Karnataka,169
IR-E-C-19706,Institute of Aeronautical Engineering,50.61,7.28,45.04,54.16,4.72,Hyderabad,Telangana,170
IR-E-C-33584,K  J  Somaiya College of Engineering,51.95,2.84,59.03,39.37,0.55,Mumbai,Maharashtra,171
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering   Technology,53.11,2.72,52.44,48.87,1.1,Hyderabad,Telangana,172
IR-E-C-42242,Maharshi Karve Stree Shikshan Samstha s Cummins College of Engineering for Women,50.8,2.95,52.51,53.89,2.16,Pune,Maharashtra,173
IR-E-U-0169,ManavRachna International Institute of Research   Studies,51.95,4.1,51.73,49.28,1.1,Faridabad,Haryana,174
IR-E-C-1438,The National Institute of Engineering,51.97,2.65,51.05,50.57,5.21,Mysore,Karnataka,175
IR-E-C-16572,Sri Venkateswara College of Engineering,56.18,4.91,48.74,38.31,2.16,Kancheepuram,Tamil Nadu,176
IR-E-U-0147,Pandit Deendayal Petroleum University,49.08,11.97,50.34,33.8,3.2,Gandhinagar,Gujarat,177
IR-E-C-9462,School of Engineering  Cochin University of Science and Technology,50.08,14.19,38.55,44.77,5.69,Cochin,Kerala,178
IR-E-C-30153,Silicon Institute of Technology  SIT   Bhubaneswar,52.9,2.66,47.2,56.2,2.69,Bhubaneswar,Odisha,179
IR-E-C-19747,Anurag Group of Institutions,56.55,1.44,43.97,54.98,0.55,Hyderabad,Telangana,180
IR-E-U-0373,Chitkara University,48.34,7.56,47.86,53.83,0.0,Rajpura,Punjab,181
IR-E-U-0455,Indian Institute of Information Technology  Design   Manufacturing,35.51,7.8,57.62,53.05,18.15,Chennai,Tamil Nadu,182
IR-E-U-0739,Madan Mohan Malaviya University of Technology,47.49,15.84,44.1,35.1,2.69,Gorakhpur,Uttar Pradesh,183
IR-E-C-26929,Sree Vidyanikethan Engineering College,54.06,1.24,50.93,47.58,0.0,A.Rangampet,Andhra Pradesh,184
IR-E-C-26928,JNTUA College of Engineering,55.12,3.96,48.19,36.84,4.72,Anantapur,Andhra Pradesh,185
IR-E-C-1398,BNM Institute of Technology,55.66,1.11,46.87,50.8,0.0,Bengaluru,Karnataka,186
IR-E-C-26162,Vasavi College of Engineering,48.8,0.75,56.58,50.47,2.16,Hyderabad,Telangana,187
IR-E-C-17913,Gayatri Vidya Parishad College of Engineering,54.28,1.69,45.48,48.12,6.65,Visakhapatnam,Andhra Pradesh,188
IR-E-C-27089,National Engineering College,53.98,5.99,42.9,46.85,1.1,Kovilpatti,Tamil Nadu,189
IR-E-C-26905,G Pulla Reddy Engineering College,53.11,1.15,48.27,51.6,2.69,Kurnool,Andhra Pradesh,190
IR-E-C-6192,Institute of Engineering   Management,43.74,7.8,51.73,52.96,2.16,Kolkata,West Bengal,191
IR-E-C-16476,Sri Sai Ram Institute of Technology,48.89,2.8,54.08,47.67,2.16,Chennai,Tamil Nadu,192
IR-E-U-0129,Dharmsinh Desai University,49.4,2.29,59.12,36.87,2.69,Nadiad,Gujarat,193
IR-E-U-0405,The LNM Institute of Information Technology,41.95,12.14,53.25,43.08,0.55,Jaipur,Rajasthan,194
IR-E-U-0162,Guru Jambheshwar University of Science and Technology,41.05,13.82,51.92,40.13,3.71,Hisar,Haryana,195
IR-E-C-42227,Dr  D  Y  Patil Institute of Technology,49.69,1.66,53.63,48.5,1.63,Pune,Maharashtra,196
IR-E-C-49660,Pimpri Chinchwad College of Engineering,46.11,7.36,50.73,48.76,0.55,Pune,Maharashtra,197
IR-E-C-34167,Ramrao Adik Institute of Technology,53.6,3.82,45.75,47.25,0.0,Navi Mumbai,Maharashtra,198
IR-E-C-48145,BVRIT Hyderabad,49.16,0.46,53.74,52.98,1.63,Hyderabad,Telangana,199
IR-E-U-0615,National Institute of Technology Arunachal Pradesh,50.56,9.06,39.36,46.21,7.12,Itanagar,Arunachal Pradesh,200
