number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
11,Sodium,Na,"sodium, Na","/?so?di?m/, SOH-dee-?m",silvery white metallic,11,"group 1 (alkali metals), s-block",3,alkali metal,22.98976928,[Ne] 3s1,2,,solid,370.944,1156.09,,0.927,,,2573,2.6,97.42,28.23,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 554, 617, 697, 802, 946, 1153","+1, ?1 (a strongly basic oxide)",Pauling scale: 0.93,"1st: 495.8 kJ/mol, 2nd: 4562 kJ/mol, 3rd: 6910.3 kJ/mol, (more)",166±9 pm,227,body-centered cubic (bcc),,142,paramagnetic,7440-23-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 22Na, trace, 2.602 y, ?+??, 0.5454, 22Ne*, 1.27453(2), 22Ne, ???, –, 22Ne*, 1.27453(2), 22Ne, ?+, 1.8200, 22Ne, 23Na, 100%, 23Na is stable with 12 neutrons",554,,,0.968,empirical: 186 pm,3200,71,47.7,10,3.3,6.3,0.5,0.69,,,,,,,,,,Humphry Davy (1807),,,,,,,,,,,
12,Magnesium,Mg,"magnesium, Mg","/mæ??ni?zi?m/, mag-NEE-zee-?m",shiny grey solid,12,"group 2 (alkaline earth metals), s-block",3,alkaline earth metal,24.305,[Ne] 3s2,2,,solid,923,1363,,1.584,,,,8.48,128,24.869,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 701, 773, 861, 971, 1132, 1361","+2, +1 (a strongly basic oxide)",Pauling scale: 1.31,"1st: 737.7 kJ/mol, 2nd: 1450.7 kJ/mol, 3rd: 7732.7 kJ/mol, (more)",141±7 pm,173,hexagonal close-packed (hcp),,156,paramagnetic,7439-95-4,Joseph Black (1755),,"iso, NA, half-life, DM, DE (MeV), DP, 24Mg, 79.0%, 24Mg is stable with 12 neutrons, 25Mg, 10.0%, 25Mg is stable with 13 neutrons, 26Mg, 11.0%, 26Mg is stable with 14 neutrons",701,"after Magnesia, Greece",Humphry Davy (1808),1.738,empirical: 160 pm,4940,24.8,43.9,45,17,45,1–2.5,44–260 MPa,0.29,,,,,,,,,,,,,,,,,,,,
13,Aluminum,Al,"aluminium, Al","UK i/?ælj??m?ni?m/, AL-ew-MIN-ee-?m, US i/??lju?m?n?m/, ?-LEW-mi-n?m",silvery gray metallic,13,"group 13, p-block",3,"post-transition metal, sometimes considered a metalloid",26.98153857,[Ne] 3s2 3p1,2,,solid,933.47,2743,,2.375,,,,10.71,284,24.2,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1482, 1632, 1817, 2054, 2364, 2790","+3, +2, +1, ?1, ?2 (an amphoteric oxide)",Pauling scale: 1.61,"1st: 577.5 kJ/mol, 2nd: 1816.7 kJ/mol, 3rd: 2744.8 kJ/mol, (more)",121±4 pm,184,face-centered cubic (fcc),,237,paramagnetic,7429-90-5,,Humphry Davy (1807),"iso, NA, half-life, DM, DE (MeV), DP, 26Al, trace, 7.17×105 y, ?+, 1.17, 26Mg, ?, –, 26Mg, ?, 1.8086, –, 27Al, 100%, 27Al is stable with 14 neutrons",1482,,Hans Christian Ørsted (1825),2.7,empirical: 143 pm,(rolled) 5000 m/s (at r.t.),23.1,28.2,70,26,76,2.75,160–550 MPa,0.35,160–350 MPa,,,,,,,Antoine Lavoisier (1787),,aluminum (US),,,,,,,,,,
14,Silicon,Si,"silicon, Si","/?s?l?k?n/ or /?s?l?k?n/, SIL-?-k?n or SIL-?-kon","crystalline, reflective with bluish-tinged faces",14,"group 14 (carbon group), p-block",3,metalloid,28.085,[Ne] 3s2 3p2,2,,solid,1687,3538,,2.57,,,,50.21,383,19.789,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1908, 2102, 2339, 2636, 3021, 3537",4,Pauling scale: 1.90,"1st: 786.5 kJ/mol, 2nd: 1577.1 kJ/mol, 3rd: 3231.6 kJ/mol, (more)",111,210,face-centered diamond-cubic,,149,diamagnetic,7440-21-3,,Thomas Thomson (1817),"iso, NA, half-life, DM, DE (MeV), DP, 28Si, 92.2%, 28Si is stable with 14 neutrons, 29Si, 4.7%, 29Si is stable with 15 neutrons, 30Si, 3.1%, 30Si is stable with 16 neutrons, 31Si, trace, 2.62 h, ??, 1.495, 31P, 32Si, trace, 153 y, ??, 13.020, 32P",1908,"after Latin 'silex' or 'silicis', meaning flint",,2.329,empirical: 111 pm,8433,2.6,2.3×103 ?·m (at 20 °C),130–188 GPa,51–80 GPa,97.6,7,,0.064–0.28,,,,,,,,Antoine Lavoisier (1787),Jöns Jacob Berzelius (1823),,1.12,,,,,,,,,
15,Phosphorus,P,"phosphorus, P","/?f?sf?r?s/, FOS-f?r-?s","colourless, waxy white, yellow, scarlet, red, violet, black",15,"group 15 (pnictogens), p-block",3,polyatomic nonmetal,30.973762,[Ne] 3s2 3p3,2,,solid,,,,,,,,white: 0.66 kJ/mol,,white: 23.824 J/(mol·K),"vapour pressure (red, b.p. 431 °C)



P (Pa)
1
10
100
1 k
10 k
100 k


at T (K)
455
489
529
576
635
704",5,Pauling scale: 2.19,,107±3 pm,180,body-centred cubic (bcc),,"white: 0.236 W/(m·K), black: 12.1 W/(m·K)","white, red, violet, black: diamagnetic","white: 12185-10-3, red: 7723-14-0",Hennig Brand (1669),,"iso, NA, half-life, DM, DE (MeV), DP, 31P, 100%, 31P is stable with 16 neutrons, 32P, trace, 14.28 d, ??, 1.709, 32S, 33P, trace, 25.3 d, ??, 0.249, 33S",455,,,"white: 1.823 g·cm?3, red: ? 2.2–2.34 g·cm?3, violet: 2.36 g·cm?3, black: 2.69 g/cm3",,,,,,,"white: 5 GPa, red: 11 GPa",,,,,,,,,white: 51.9 kJ/mol,"1st: 1011.8 kJ/mol, 2nd: 1907 kJ/mol, 3rd: 2914.1 kJ/mol, (more)",,,,,Antoine Lavoisier (1777),,,,,,,,
16,Sulfur,S,"sulfur, S","/?s?lf?r/, SUL-f?r",lemon yellow sintered microcrystals,16,"group 16 (chalcogens), p-block",3,polyatomic nonmetal,32.06,[Ne] 3s2 3p4,2,,solid,388.36,717.8,,1.819,,,1314,mono: 1.727 kJ/mol,mono: 45 kJ/mol,22.75,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 375, 408, 449, 508, 591, 717",6,Pauling scale: 2.58,"1st: 999.6 kJ/mol, 2nd: 2252 kJ/mol, 3rd: 3357 kJ/mol, (more)",105±3 pm,180,orthorhombic,,0.205,diamagnetic,7704-34-9,Chinese (before 2000 BCE),,"iso, NA, half-life, DM, DE (MeV), DP, 32S, 94.99%, 32S is stable with 16 neutrons, 33S, 0.75%, 33S is stable with 17 neutrons, 34S, 4.25%, 34S is stable with 18 neutrons, 35S, trace, 87.32 d, ??, 0.167, 35Cl, 36S, 0.01%, 36S is stable with 20 neutrons",375,,,"alpha: 2.07 g/cm3, beta: 1.96 g/cm3, gamma: 1.92 g/cm3",,,,2×1015  ?·m (at 20 °C) (amorphous),,,7.7,2,,,,,,,Antoine Lavoisier (1777),,,,,sulphur,,,,,,,,,,
17,Chlorine,Cl,"chlorine, Cl","/?kl??ri?n/ or /?kl??r?n/, KLOHR-een or KLOHR-?n",pale yellow-green gas,17,"group 17 (halogens), p-block",3,diatomic nonmetal,35.45,[Ne] 3s2 3p5,2,,gas,171.6,239.11,3.2,,1.5625,,416.9,(Cl2) 6.406 kJ/mol,,"(Cl2), 33.949 J/(mol·K)","vapour pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 128, 139, 153, 170, 197, 239",7,Pauling scale: 3.16,,102±4 pm,175,orthorhombic,206,8.9×10?3 W/(m·K),diamagnetic,7782-50-5,,,"iso, NA, half-life, DM, DE (MeV), DP, 35Cl, 76%, 35Cl is stable with 18 neutrons, 36Cl, trace, 3.01×105 y, ??, 0.709, 36Ar, ?, –, 36S, 37Cl, 24%, 37Cl is stable with 20 neutrons",128,,,,,,,>10 ?·m (at 20 °C),,,,,,,,,,,Humphry Davy (1808),(Cl2) 20.41 kJ/mol,"1st: 1251.2 kJ/mol, 2nd: 2298 kJ/mol, 3rd: 3822 kJ/mol, (more)",,Carl Wilhelm Scheele (1774),,,,,,,,,,,
18,Argon,Ar,"argon, Ar","/???r??n/, AR-gon",colorless gas exhibiting a lilac/violet glow when placed in a high voltage electric field,18,"group 18 (noble gases), p-block",3,noble gas,39.9481,[Ne] 3s2 3p6,2,,gas,83.81,87.302,1.784,,1.3954,83.8058,150.687,1.18,6.53,20.85,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 47, 53, 61, 71, 87",0,Pauling scale: no data,"1st: 1520.6 kJ/mol, 2nd: 2665.8 kJ/mol, 3rd: 3931 kJ/mol, (more)",106±10 pm,188,face-centered cubic (fcc),323,17.72×10?3  W/(m·K),diamagnetic,7440-37-1,,,"iso, NA, half-life, DM, DE (MeV), DP, 36Ar, 0.334%, 36Ar is stable with 18 neutrons, 37Ar, syn, 35 d, ?, 0.813, 37Cl, 38Ar, 0.063%, 38Ar is stable with 20 neutrons, 39Ar, trace, 269 y, ??, 0.565, 39K, 40Ar, 99.604%, 40Ar is stable with 22 neutrons, 41Ar, syn, 109.34 min, ??, 2.49, 41K, 42Ar, syn, 32.9 y, ??, 0.600, 42K",,,,,,,,,,,,,,,,,,,,,,,Lord Rayleigh and William Ramsay (1894),,,,,,,,,,,
19,Potassium,K,"potassium, K","/po??tæsi?m/, po-TAS-ee-?m",silvery gray,19,"group 1 (alkali metals), s-block",4,alkali metal,39.09831,[Ar] 4s1,2,,solid,336.7,1032,,0.828,,,2223,2.33,76.9,29.6,,"+1, ?1 (a strongly basic oxide)",Pauling scale: 0.82,"1st: 418.8 kJ/mol, 2nd: 3052 kJ/mol, 3rd: 4420 kJ/mol, (more)",203±12 pm,275,body-centered cubic (bcc),,102.5,paramagnetic,7440-09-7,,,"iso, NA, half-life, DM, DE (MeV), DP, 39K, 93.258%, 39K is stable with 20 neutrons, 40K, 0.012%, 1.248(3)×109 y, ??, 1.311, 40Ca, ?, 1.505, 40Ar, ?+, 1.505, 40Ar, 41K, 6.730%, 41K is stable with 22 neutrons",,,,0.862,empirical: 227 pm,2000,83.3,72,3.53,1.3,3.1,0.4,0.363,,,,,,,,,,Humphry Davy (1807),,,,,,,,,,,
20,Calcium,Ca,"calcium, Ca","/?kælsi?m/, KAL-see-?m","dull gray, silver; with a pale yellow tint",20,"group 2 (alkaline earth metals), s-block",4,alkaline earth metal,40.0784,[Ar] 4s2,2,,solid,1115,1757,,1.378,,,,8.54,154.7,25.929,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 864, 956, 1071, 1227, 1443, 1755","+2, +1 (a strongly basic oxide)",Pauling scale: 1.00,"1st: 589.8 kJ/mol, 2nd: 1145.4 kJ/mol, 3rd: 4912.4 kJ/mol, (more)",176±10 pm,231,face-centered cubic (fcc),,201,diamagnetic,7440-70-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


40Ca
96.941%
40Ca is stable with 20 neutrons


41Ca
trace
1.03×105 y
?
–
41K


42Ca
0.647%
42Ca is stable with 22 neutrons


43Ca
0.135%
43Ca is stable with 23 neutrons


44Ca
2.086%
44Ca is stable with 24 neutrons


45Ca
syn
162.7 d
??
0.258
45Sc


46Ca
0.004%
46Ca is stable with 26 neutrons


47Ca
syn
4.536 d
??
0.694, 1.99
47Sc


?
1.297
–


48Ca
0.187%
4.3×1019 y
????
4.274
48Ti",864,,,1.55,empirical: 197 pm,3810,22.3,33.6,20,7.4,17,1.75,170–416 MPa,0.31,,,,,,,,,Humphry Davy (1808),,,,,,,,,,,
21,Scandium,Sc,"scandium, Sc","/?skændi?m/, SKAN-dee-?m",silvery white,21,"group 3, d-block",4,transition metal,44.9559085,[Ar] 3d1 4s2,2,,solid,1814,3109,,2.8,,,,14.1,332.7,25.52,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1645, 1804, (2006), (2266), (2613), (3101)",3,Pauling scale: 1.36,"1st: 633.1 kJ/mol, 2nd: 1235.0 kJ/mol, 3rd: 2388.6 kJ/mol, (more)",170±7 pm,211,hexagonal close-packed (hcp),,15.8,paramagnetic,7440-20-2,,,"iso
NA
half-life
DM
DE (MeV)
DP


44m2Sc
syn
58.61 h
IT
0.2709
44Sc


?
1.0, 1.1, 1.1
44Sc


?
–
44Ca


45Sc
100%
45Sc is stable with 24 neutrons


46Sc
syn
83.79 d
??
0.3569
46Ti


?
0.889, 1.120
–


47Sc
syn
3.3492 d
??
0.44, 0.60
47Ti


?
0.159
–


48Sc
syn
43.67 h
??
0.661
48Ti


?
0.9, 1.3, 1.0
–",1645,after Scandinavia,,2.985,empirical: 162 pm,,"?, poly: 10.2 µm/(m·K) (at r.t.)","?, poly: 562 n?·m (at r.t., calculated)",74.4,29.1,56.6,,736–1200 MPa,0.279,,,,,,,,Dmitri Mendeleev (1871),Lars Fredrik Nilson (1879),,,,,,,,,,,
22,Titanium,Ti,"titanium, Ti","/ta??te?ni?m/, ty-TAY-nee-?m",silvery grey-white metallic,22,"group 4, d-block",4,transition metal,47.8671,[Ar] 3d2 4s2,2,,solid,1941,3560,,4.11,,,,14.15,425,25.06,"vapor pressure, P (Pa), 1, 10, 100, 1 k, 10 k, 100 k, at T (K), 1982, 2171, (2403), 2692, 3064, 3558",4,Pauling scale: 1.54,"1st: 658.8 kJ/mol, 2nd: 1309.8 kJ/mol, 3rd: 2652.5 kJ/mol, (more)",160±8 pm,,hexagonal close-packed (hcp),,21.9,paramagnetic,7440-32-6,William Gregor (1791),Martin Heinrich Klaproth (1795),"iso
NA
half-life
DM
DE (MeV)
DP


44Ti
syn
63 y
?
–
44Sc


?
0.07D, 0.08D
–


46Ti
8.25%
46Ti is stable with 24 neutrons


47Ti
7.44%
47Ti is stable with 25 neutrons


48Ti
73.72%
48Ti is stable with 26 neutrons


49Ti
5.41%
49Ti is stable with 27 neutrons


50Ti
5.18%
50Ti is stable with 28 neutrons",1982,,Jöns Jakob Berzelius (1825),4.506,empirical: 147 pm,5090,8.6,420,116,44,110,6,716–2770 MPa,0.32,830–3420 MPa,,,,,,,,,,,,,,,,,,,
