,Train no.,Train name,Starts,Ends
61,11050,Ahmedabad Express,C Shahumharaj T,Ahmedabad Junction
62,59441,Ahmedabad Passenger,Mumbai Central,Nandurbar
63,59442,Ahmedabad Passenger,Ahmedabad Junction,Mumbai Central
64,9649,Aii Adi Special,Ajmer Junction,Ahmedabad Junction
65,12196,Aii Af Intercity,Ajmer Junction,Agra Fort
66,5712,Aii Apdj Special,Ajmer Junction,Alipur Duar Junction
67,22996,Aii Bdts Superfast Express,Ajmer Junction,Bandra Terminus
68,9611,Aii Bdts Special,Ajmer Junction,Bandra Terminus
69,9619,Aii Bdts Urs Special,Ajmer Junction,Bandra Terminus
70,9602,Aii Beas Special,Ajmer Junction,Udaipur City
71,9601,Aii Beas Special,Ajmer Junction,Beas
72,13424,Aii Bgp Express,Ajmer Junction,Bhagalpur
73,5286,Aii Bju Special,Ajmer Junction,Barauni Junction
74,12983,Aii Cdg G Rath,Ajmer Junction,Chandigarh
75,5104,Aii Cpr Special,Ajmer Junction,Chhapra
76,5238,Aii Dbg Special,Ajmer Junction,Darbhanga Junction
77,12990,Aii Ddr Express,Ajmer Junction,Dadar
78,9627,Aii Dee Superfast Special,Ajmer Junction,Delhi S Rohilla
79,4042,Aii Dli Superfast Special,Ajmer Junction,Delhi
80,18208,Aii Durg Express,Ajmer Junction,Durg
81,19609,Aii Hw Express,Ajmer Junction,Haridwar Junction
82,9640,Aii Hw Special,Ajmer Junction,Haridwar Junction
83,3002,Aii Hwh Special,Ajmer Junction,Howrah Junction
84,17019,Aii Hyb Express,Ajmer Junction,Hyderabad Decan
85,12719,Aii Hyb Superfast Express,Ajmer Junction,Hyderabad Decan
86,7126,Aii Hyb Special,Ajmer Junction,Hyderabad Decan
87,7019,Aii Hyb Special,Ajmer Junction,Hyderabad Decan
88,9312,Aii Indb Special,Ajmer Junction,Indore Junction Bg
89,12066,Aii Jan Shatabd,H Nizamuddin,Ajmer Junction
90,12413,Aii Jat Express,Ajmer Junction,Jammu Tawi
91,9621,Aii Jp Intercity,Ajmer Junction,Jaipur
92,9625,Aii Jp Superfast Special,Ajmer Junction,Jaipur
93,54802,Aii Ju Fast Passenger,Ajmer Junction,Jodhpur Junction
94,7130,Aii Kcg Special,Ajmer Junction,Kacheguda
95,3138,Aii Koaa Special,Ajmer Junction,Howrah Junction
96,19608,Aii Koaa Express,Ajmer Junction,Kolkata
97,16209,Aii Mys Express,Ajmer Junction,Mysore Junction
98,22211,Aii Nzm Duronto,Ajmer Junction,H Nizamuddin
99,18422,Aii Puri Express,Ajmer Junction,Puri
100,8422,Aii Puri Express,Ajmer Junction,Puri
101,19654,Aii Rtm Express,Ajmer Junction,Ratlam Junction
102,12988,Aii Sdah Express,Ajmer Junction,Sealdah
103,3180,Aii Sdah Superfast Special,Ajmer Junction,Sealdah
104,19603,Aii Sln Express,Ajmer Junction,Sultanpur
105,19607,Aii Wkly Express,Kolkata,Ajmer Junction
106,17064,Ajanta Express,Secunderabad Junction,Manmad Junction
107,17063,Ajanta Express,Manmad Junction,Secunderabad Junction
108,19613,Ajmer Asr Express,Ajmer Junction,Amritsar Junction
109,19611,Ajmer Asr Express,Ajmer Junction,Amritsar Junction
110,12989,Ajmer Express,Dadar,Ajmer Junction
111,16210,Ajmer Express,Mysore Junction,Ajmer Junction
112,19411,Ajmer Intercity,Ahmedabad Junction,Ajmer Junction
113,12015,Ajmer Shatabdi,New Delhi,Ajmer Junction
114,12016,Ajmer Shatabdi,Ajmer Junction,New Delhi
115,9650,Ajmer Special,Ahmedabad Junction,Ajmer Junction
116,12120,Ajni Ami Express,Nagpur,Amravati
117,11202,Ajni Ltt Express,Ajni,Lokmanyatilak T
118,17640,Ak Kcg Express,Akola Junction,Kacheguda
119,52994,Ak Mhow F Passenger,Akola Junction,Mhow
120,7507,Ak Qln Special,Akola Junction,Kollam Junction
121,12318,Akal Takhat Express,Amritsar Junction,Sealdah
122,12317,Akal Takht Express,Sealdah,Amritsar Junction
123,14311,Ala Hazrat Express,Bareilly,Bhuj
124,14312,Ala Hazrat Express,Bhuj,Bareilly
125,7092,Ald Hyb Special,Allahabad Junction,Hyderabad Decan
126,19418,Ald Adi Express,Allahabad Junction,Ahmedabad Junction
127,9430,Ald Adi Special,Allahabad Junction,Ahmedabad Junction
128,4421,Ald Anvt Superfast Special,Allahabad Junction,Anand Vihar Trm
129,7240,Ald Cct Special,Allahabad Junction,Kakinada Town
130,4001,Ald Dli Superfast Special,Allahabad Junction,Delhi
131,12276,Ald Duronto Express,New Delhi,Allahabad Junction
132,12293,Ald Duronto Express,Lokmanyatilak T,Allahabad Junction
133,14115,Ald Hw Express,Allahabad Junction,Haridwar Junction
134,4120,Ald Hwh Special,Allahabad Junction,Howrah Junction
135,22442,Ald Intercity,Kanpur Central,Allahabad Junction
136,4121,Ald Jat Ac Special,Allahabad Junction,Jammu Tawi
137,4131,Ald Jat Premium,Allahabad Junction,Jammu Tawi
138,12403,Ald Jp Express,Allahabad Junction,Jaipur
139,12294,Ald Ltt Duronto,Allahabad Junction,Lokmanyatilak T
140,4127,Ald Ltt Premium,Allahabad Junction,Lokmanyatilak T
141,12564,Ald Ltt Superfast Express,Allahabad Junction,Lokmanyatilak T
142,1006,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T
143,4115,Ald Ltt Special,Allahabad Junction,Lokmanyatilak T
144,4111,Ald Ndls Superfast Special,Allahabad Junction,New Delhi
145,4423,Ald Ndls Special,Allahabad Junction,New Delhi
146,7514,Ald Ned Special,Allahabad Junction,Nanded
147,7512,Ald Ned Special,Allahabad Junction,Nanded
148,4113,Ald Uhp Special,Allahabad Junction,Udhampur
149,8576,Ald Vskp Special,Allahabad Junction,Vishakapatnam
150,9429,Allahabad Special,Ahmedabad Junction,Allahabad Junction
151,22639,Alleppey Express,Chennai Central,Alleppey
152,16308,Alleppey Express,Kannur,Alleppey
153,12587,Amar Nath Express,Gorakhpur Junction,Jammu Tawi
154,18047,Amaravathi Express,Howrah Junction,Vasco Da Gama
155,17225,Amaravathi Express,Vijayawada Junction,Hubli Junction
156,17226,Amaravati Express,Hubli Junction,Kacheguda
157,12853,Amarkantak Express,Durg,Bhopal Junction
158,12854,Amarkantak Express,Bhopal Junction,Durg
159,15098,Amarnath Express,Jammu Tawi,Bhagalpur
160,15097,Amarnath Express,Bhagalpur,Jammu Tawi
161,15653,Amarnath Express,Guwahati,Jammu Tawi
162,11265,Ambikapur Express,Jabalpur,Ambikapur
163,13138,Amh Koaa Express,Azamgarh,Kolkata
164,11054,Amh Ltt Express,Azamgarh,Lokmanyatilak T
165,12119,Ami Ajni Express,Amravati,Ajni
166,12159,Ami Jbp Superfast Express,Amravati,Jabalpur
167,11406,Ami Pune Express,Amravati,Pune Junction
168,12766,Ami Tpty Superfast Express,Amravati,Tirupati
169,9050,Ami Udn Passenger Special,Amravati,Udhna Junction
170,12112,Amravati Cstm E,Amravati,Mumbai Cst
171,16343,Amritha Express,Trivandrum Cntl,Palghat Town
172,16344,Amritha Express,Palghat Town,Trivandrum Cntl
173,12483,Amritsar Express,Kochuveli,Amritsar Junction
174,13049,Amritsar Express,Howrah Junction,Amritsar Junction
175,11057,Amritsar Express,Lokmanyatilak T,Dhule
176,13005,Amritsar Mail,Howrah Junction,Amritsar Junction
177,12014,Amritsar Shatabdi,Amritsar Junction,New Delhi
178,12032,Amritsar Shatabdi,Amritsar Junction,New Delhi
179,12013,Amritsar Shatabdi,New Delhi,Amritsar Junction
180,12031,Amritsar Shatabdi,New Delhi,Amritsar Junction
181,22128,Anandwan Express,Kazipet Junction,Lokmanyatilak T
182,22127,Anandwan Express,Lokmanyatilak T,Kazipet Junction
183,16723,Anantapuri Express,Chennai Egmore,Trivandrum Cntl
184,16724,Anantapuri Express,Trivandrum Cntl,Chennai Egmore
185,12316,Ananya Express,Udaipur City,Sealdah
186,16031,Andaman Express,Chennai Central,Jammu Tawi
187,16032,Andaman Express,Jammu Tawi,Chennai Central
188,12254,Anga Express,Bhagalpur,Yesvantpur Junction
189,12253,Anga Express,Yesvantpur Junction,Bhagalpur
190,12315,Annanya Express,Sealdah,Udaipur City
191,4422,Anvt Ald Superfast Special,Anand Vihar Trm,Allahabad Junction
192,4118,Anvt Ald Special,Anand Vihar Trm,Allahabad Junction
193,4028,Anvt Apdj Special,Anand Vihar Trm,Alipur Duar Junction
194,3518,Anvt Asn Special,Anand Vihar Trm,Asansol Junction
195,22406,Anvt Bgp G Rath,Anand Vihar Trm,Bhagalpur
196,14152,Anvt Cnb Express,Anand Vihar Trm,Kanpur Central
197,12211,Anvt Garib Rath,Muzaffarpur Junction,Anand Vihar Trm
198,22409,Anvt Garib Rath,Gaya Junction,Anand Vihar Trm
199,2398,Anvt Gaya Special,Anand Vihar Trm,Gaya Junction
200,5028,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction
201,15058,Anvt Gkp Express,Anand Vihar Trm,Gorakhpur Junction
202,5052,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction
203,5036,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction
204,5040,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction
205,5050,Anvt Gkp Special,Delhi,Gorakhpur Junction
206,5058,Anvt Gkp Special,Anand Vihar Trm,Gorakhpur Junction
207,12444,Anvt Hlz S F Express,Anand Vihar Trm,Haldia
208,12040,Anvt Kgm Shatabdi,Anand Vihar Trm,Kathgodam
209,13132,Anvt Koaa Express,Anand Vihar Trm,Kolkata
210,3126,Anvt Koaa Superfast Special,Anand Vihar Trm,Kolkata
211,15622,Anvt Kyq Express,Anand Vihar Trm,Kamakhya
212,15026,Anvt Mau Express,Anand Vihar Trm,Mau Junction
213,13430,Anvt Mldt Express,Anand Vihar Trm,Malda Town
214,3210,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction
215,2394,Anvt Pnbe Special,Anand Vihar Trm,Patna Junction
216,2365,Anvt Premium,Patna Junction,Anand Vihar Trm
217,2527,Anvt Premium Special,Gorakhpur Junction,Anand Vihar Trm
218,22488,Anvt Rdp Link,Anand Vihar Trm,Radhikapur
219,12428,Anvt Rewa Express,Anand Vihar Trm,Rewa
220,3190,Anvt Sdah Superfast Special,Anand Vihar Trm,Sealdah
221,22858,Anvt Src Superfast Express,Anand Vihar Trm,Santragachi Junction
222,8034,Anvt Src Special,Anand Vihar Trm,Santragachi Junction
223,4403,Anvt Uhp Special,Anand Vihar Trm,Udhampur
224,12708,Ap Sampark Kranti,H Nizamuddin,Tirupati
225,5711,Apdj Aii Special,Alipur Duar Junction,Ajmer Junction
226,5817,Apdj Dbb Special,Alipur Duar Junction,Dhubri
227,12885,Aranyak Express,Shalimar,Bhojudih Junction
228,12886,Aranyak Express,Bhojudih Junction,Shalimar
229,19707,Aravali Express,Bandra Terminus,Jaipur
230,19708,Aravali Express,Jaipur,Bandra Terminus
231,12356,Archana Express,Jammu Tawi,Rjndr Ngr Bihar
232,12355,Archna Express,Rjndr Ngr Bihar,Jammu Tawi
233,3560,Asansol Special,Patna Junction,Asansol Junction
234,12916,Ashram Express,Delhi,Ahmedabad Junction
235,12915,Ashram Express,Ahmedabad Junction,Delhi
236,3517,Asn Anvt Special,Asansol Junction,Anand Vihar Trm
237,12361,Asn Cstm Express,Asansol Junction,Mumbai Cst
238,13509,Asn Gd Express,Asansol Junction,Gonda Junction
239,13507,Asn Gkp Express,Asansol Junction,Gorakhpur Junction
240,3563,Asn Jp Special,Asansol Junction,Jaipur
241,12376,Asn Mas Express,Asansol Junction,Chennai Central
242,3555,Asn Mfp Special,Asansol Junction,Muzaffarpur Junction
243,3511,Asn Pnbe Special,Asansol Junction,Patna Junction
244,3557,Asn Pnbe Special,Asansol Junction,Patna Junction
245,3516,Asn Puri Special,Asansol Junction,Puri
246,19614,Asr Aii Express,Amritsar Junction,Ajmer Junction
247,19612,Asr Ajmer Express,Amritsar Junction,Ajmer Junction
248,12242,Asr Cdg Superfast,Amritsar Junction,Chandigarh
249,14154,Asr Cnb Express,Amritsar Junction,Kanpur Central
250,15934,Asr Dbrg Express,Amritsar Junction,Dibrugarh
251,14632,Asr Ddn Express,Amritsar Junction,Dehradun
252,54602,Asr Hsr Passenger,Amritsar Junction,Sadulpur Junction
253,12054,Asr Hw Jnshtbdi,Amritsar Junction,Haridwar Junction
254,13050,Asr Hwh Express,Amritsar Junction,Howrah Junction
255,13006,Asr Hwh Mail,Amritsar Junction,Howrah Junction
256,19326,Asr Indb Express,Amritsar Junction,Indore Junction Bg
257,19772,Asr Jaipur Express,Amritsar Junction,Ajmer Junction
258,19782,Asr Jp Express,Amritsar Junction,Ajmer Junction
259,12484,Asr Kcvl Express,Amritsar Junction,Kochuveli
260,15708,Asr Kir Express,Amritsar Junction,Katihar Junction
261,12358,Asr Koaa Superfast Express,Amritsar Junction,Kolkata
262,14616,Asr Lku Express,Amritsar Junction,Lal Kuan
263,11058,Asr Ltt Express,Amritsar Junction,Lokmanyatilak T
264,12460,Asr Ndls Express,Amritsar Junction,New Delhi
265,12716,Asr Ned Express,Amritsar Junction,Nanded
266,12422,Asr Ned Superfast Express,Amritsar Junction,Nanded
267,14002,Attari Dli Express,Atari,Delhi
268,12953,Aug Kr Raj Express,Mumbai Central,H Nizamuddin
269,57549,Aurangabad Psgr,Hyderabad Decan,Aurangabad
270,15910,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction
271,15610,Avadh Assam Express,Lalgarh Junction,New Tinsukia Junction
272,19040,Avadh Express,Muzaffarpur Junction,Bandra Terminus
273,19037,Avadh Express,Bandra Terminus,Gorakhpur Junction
274,19039,Avadh Express,Bandra Terminus,Muzaffarpur Junction
275,19038,Avadh Express,Gorakhpur Junction,Bandra Terminus
276,12962,Avantika Express,Indore Junction Bg,Mumbai Central
277,12961,Avantika Express,Mumbai Central,Indore Junction Bg
278,17619,Awb Ned Express,Aurangabad,Nanded
279,7505,Awb Qln Special,Aurangabad,Kollam Junction
280,17621,Awb Ru Express,Aurangabad,Renigunta Junction
281,7405,Awb Tpty Special,Aurangabad,Tirupati
282,14808,Awr Jp Express,Alwar,Jaipur
283,4805,Awr Krh Special,Alwar,Khairthal
284,12129,Azad Hind Express,Pune Junction,Howrah Junction
285,12130,Azad Hind Express,Howrah Junction,Pune Junction
286,12948,Azimabad Express,Patna Junction,Ahmedabad Junction
287,12947,Azimabad Express,Ahmedabad Junction,Patna Junction
288,15665,B G Express,Kamakhya,Dimapur
289,15666,B G Express,Dimapur,Kamakhya
290,18450,B Nath Dham Express,Patna Junction,Puri
291,18449,B Nath Dham Express,Puri,Patna Junction
292,13019,Bagh Express,Howrah Junction,Kathgodam
293,13020,Bagh Express,Kathgodam,Howrah Junction
294,12577,Bagmati Express,Darbhanga Junction,Mysore Junction
295,12578,Bagmati Express,Mysore Junction,Darbhanga Junction
296,74639,Bahl Sina,Banihal,Srinagar
297,19452,Bandra T Express,Gandhidham Bg,Bandra Terminus
298,6347,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction
299,6542,Bangalore Express,Villuparam Junction,Bangalore Cy Junction
300,12785,Bangalore Express,Kacheguda,Bangalore Cy Junction
301,12609,Bangalore Express,Chennai Central,Bangalore Cy Junction
302,6516,Bangalore Express,Tirunelveli,Bangalore Cy Junction
303,16525,Bangalore Express,Kanyakumari,Bangalore Cy Junction
304,16518,Bangalore Express,Kannur,Bangalore Cy Junction
305,16524,Bangalore Express,Karwar,Bangalore Cy Junction
306,6590,Bangalore Express,Hubli Junction,Bangalore Cy Junction
307,16228,Bangalore Express,Talguppa,Bangalore Cy Junction
308,17236,Bangalore Express,Nagercoil Junction,Bangalore Cy Junction
309,12678,Bangalore Express,Eranakulam Junction,Bangalore Cy Junction
310,16316,Bangalore Express,Kochuveli,Bangalore Cy Junction
311,6029,Bangalore Express,Chennai Central,Bangalore Cy Junction
312,12657,Bangalore Mail,Chennai Central,Bangalore Cy Junction
313,56263,Bangalore Passenger,Mysore Junction,Bangalore Cy Junction
314,22607,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction
315,12683,Bangalore Superfast Express,Eranakulam Junction,Bangalore Cy Junction
316,12494,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction
317,22694,Banglore Rajdhn,H Nizamuddin,Bangalore Cy Junction
318,22692,Banglore Rajdhani,H Nizamuddin,Bangalore Cy Junction
319,13241,Banka Rjpb Express,Banka,Rjndr Ngr Bihar
320,15694,Barak Valley Express,Silchar,Lumding Junction
321,15693,Barak Valley Express,Lumding Junction,Silchar
322,14555,Bareilly Dli Express,Bareilly,Delhi
323,14556,Bareilly Express,Delhi,Bareilly
324,14313,Bareilly Express,Lokmanyatilak T,Bareilly
325,14322,Bareilly Express,Bhuj,Bareilly
326,28624,Barka Rjpb Express,Barka Kana,Rjndr Ngr Bihar
327,14888,Barmer Klk Express,Barmer,Kalka
328,14805,Barmer Ac Express,Yesvantpur Junction,Barmer
329,17307,Basava Express,Mysore Junction,Bagalkot
330,17308,Basava Express,Bagalkot,Mysore Junction
331,51029,Bb Bjp Fast Passenger,Mumbai Cst,Bijapur
332,18404,Bbn Ckp Intercity Express,Barabil,Chakradharpur
333,12021,Bbn Janshatabdi,Howrah Junction,Barabil
334,12022,Bbn Janshatabdi,Barabil,Howrah Junction
335,18415,Bbn Puri Express,Barabil,Puri
336,12831,Bbs Garib Rath,Dhanbad Junction,Bhubaneswar
337,12892,Bbs Bpo Express,Bhubaneswar,Bangriposi
338,18437,Bbs Bwip Link E,Bhubaneswar,Nilaje
339,12830,Bbs Chennai Express,Bhubaneswar,Chennai Central
340,1020,Bbs Cstm Special,Bhubaneswar,Mumbai Cst
341,12281,Bbs Duronto Express,Bhubaneswar,New Delhi
342,12282,Bbs Duronto Express,New Delhi,Bhubaneswar
343,12894,Bbs Express,Balangir,Bhubaneswar
344,12074,Bbs Jan Shatabd,Bhubaneswar,Howrah Junction
345,12073,Bbs Jan Shatabd,Howrah Junction,Bhubaneswar
346,12880,Bbs Ltt Superfast Express,Bhubaneswar,Lokmanyatilak T
347,2815,Bbs Ndls Superfast Special,Bhubaneswar,New Delhi
348,22805,Bbs Ndls Superfast Express,Bhubaneswar,New Delhi
349,12898,Bbs Pdy Express,Bhubaneswar,Puducherry
350,8449,Bbs Pnbe Special,Bhubaneswar,Patna Junction
351,12582,Bbs Pune Express,Bhubaneswar,Pune Junction
352,22882,Bbs Pune Express,Bhubaneswar,Pune Junction
353,2882,Bbs Pune Premiu,Bhubaneswar,Pune Junction
354,22811,Bbs Rajdhani Express,Bhubaneswar,New Delhi
355,22823,Bbs Rajdhani Express,Bhubaneswar,New Delhi
356,18496,Bbs Rmm Express,Bhubaneswar,Rameswaram
357,18106,Bbs Rou Intercity Express,Bhubaneswar,Rourkela
358,22871,Bbs Tpty Express,Bhubaneswar,Tirupati
359,22879,Bbs Tpty Superfast Express,Bhubaneswar,Tirupati
360,2845,Bbs Ypr Superfast Special,Bhubaneswar,Yesvantpur Junction
361,12845,Bbs Ypr Superfast Express,Bhubaneswar,Yesvantpur Junction
362,9017,Bct Adi Ac Special,Mumbai Central,Ahmedabad Junction
363,9007,Bct Bikaner Special,Mumbai Central,Bikaner Junction
364,12932,Bct Doubledecke,Ahmedabad Junction,Mumbai Central
365,22210,Bct Duronto,New Delhi,Mumbai Central
366,12268,Bct Duronto Express,Ahmedabad Junction,Mumbai Central
367,12955,Bct Jp Express,Mumbai Central,Jaipur
368,4093,Bct Ndls Ac Special,Mumbai Central,New Delhi
369,9003,Bct Ndls Premiu,Mumbai Central,New Delhi
370,14209,Bdl Lko Intercity,Vindhyachal,Lucknow Nr
371,2904,Bdts Ac S F Express,Bhuj,Bandra Terminus
372,22904,Bdts Ac S F Express,Bhuj,Bandra Terminus
373,9027,Bdts Adi Special,Bandra Terminus,Ahmedabad Junction
374,9642,Bdts Aii Special,Bandra Terminus,Ajmer Junction
375,12995,Bdts Aii Udz Express,Bandra Terminus,Ajmer Junction
376,9620,Bdts Aii Urs Special,Bandra Terminus,Ajmer Junction
377,19065,Bdts Bgkt Express,Bandra Terminus,Bhagat Ki Kothi
378,19115,Bdts Bhuj Express,Bandra Terminus,Bhuj
379,9023,Bdts Bikaner Special,Bandra Terminus,Bikaner Junction
380,22474,Bdts Bkn Superfast Express,Bandra Terminus,Bikaner Junction
381,19203,Bdts Bvc Express,Bandra Terminus,Bhavnagar Trmus
382,9231,Bdts Bvc Special,Bandra Terminus,Bhavnagar Trmus
383,19029,Bdts Dee Express,Bandra Terminus,Delhi S Rohilla
384,12910,Bdts Garib Rath,H Nizamuddin,Bandra Terminus
385,5034,Bdts Gkp Special,Bandra Terminus,Gorakhpur Junction
386,2534,Bdts Gkp Superfast Special,Bandra Terminus,Gorakhpur Junction
387,1654,Bdts Hbj Special,Bandra Terminus,Habibganj
388,22915,Bdts Hsr Superfast Express,Bandra Terminus,Hisar
389,2915,Bdts Hsr Superfast Express,Bandra Terminus,Hisar
390,9301,Bdts Indb Superfast Special,Bandra Terminus,Indore Junction Bg
391,9029,Bdts Indore Special,Bandra Terminus,Indore Junction Bg
392,11104,Bdts Jhansi Express,Bandra Terminus,Jhansi Junction
393,22933,Bdts Jp Superfast Express,Bandra Terminus,Jaipur
394,9732,Bdts Jp Special,Bandra Terminus,Jaipur
395,9033,Bdts Jp Special,Bandra Terminus,Jaipur
396,19063,Bdts Jsm Express,Bandra Terminus,Jaisalmer
397,9063,Bdts Jsm Express,Bandra Terminus,Jaisalmer
398,22931,Bdts Jsm Express,Bandra Terminus,Jaisalmer
399,9045,Bdts Jsm Special,Bandra Terminus,Jaisalmer
400,9019,Bdts Ju Special,Bandra Terminus,Jodhpur Junction
401,22444,Bdts Kanpur Express,Bandra Terminus,Kanpur Central
402,19021,Bdts Ljn Express,Bandra Terminus,Lucknow Ne
403,9009,Bdts Madgaon Special,Bandra Terminus,Madgaon
404,12247,Bdts Nzm Yuva E,Bandra Terminus,H Nizamuddin
405,9561,Bdts Okha Special,Bandra Terminus,Okha
406,19049,Bdts Patna Express,Bandra Terminus,Patna Junction
407,22935,Bdts Pit Superfast Express,Bandra Terminus,Mumbai Cst
408,9011,Bdts Pnbe Special,Bandra Terminus,Patna Junction
409,9061,Bdts Rmr Express,Bandra Terminus,Ramnagar
410,12907,Bdts Sampark K Express,Bandra Terminus,H Nizamuddin
411,12935,Bdts Surat Express,Bandra Terminus,Surat
412,14321,Be Bhuj Express,Bareilly,Bhuj
413,14236,Be Bsb Express,Bareilly,Varanasi Junction
414,54077,Be Dli Psngr,Bareilly,Delhi
415,14320,Be Indb Express,Bareilly,Indore Junction Bg
416,4314,Be Kota Special,Bareilly,Kota Junction
417,14308,Be Lko Ald Passenger,Bareilly,Prayag
418,14314,Be Ltt Express,Bareilly,Lokmanyatilak T
419,4918,Beas Sre Special,Beas,Saharanpur
420,12238,Begampura Express,Jammu Tawi,Varanasi Junction
421,12237,Begampura Express,Varanasi Junction,Jammu Tawi
422,18203,Betwa Express,Durg,Kanpur Central
423,18204,Betwa Express,Kanpur Central,Durg
424,14803,Bgkt Adi Express,Bhagat Ki Kothi,Ahmedabad Junction
425,4803,Bgkt Adi Special,Bhagat Ki Kothi,Ahmedabad Junction
426,9054,Bgkt Bct Special,Jodhpur Junction,Valsad
427,19066,Bgkt Bdts Express,Bhagat Ki Kothi,Bandra Terminus
428,18244,Bgkt Bsp Express,Bhagat Ki Kothi,Bilaspur Junction
429,8244,Bgkt Bsp Special,Bhagat Ki Kothi,Bilaspur Junction
430,15623,Bgkt Kyq Express,Bhagat Ki Kothi,Kamakhya
431,5623,Bgkt Kyq Special,Bhagat Ki Kothi,Kamakhya
